,Strain Name,Type,Rating,Rating Users,Top Terpene,Feeling_1,Negative_1,Helps with_1,Feeling_2,Negative_2,Helps with_2,Feeling_3,Negative_3,Helps with_3,Feeling_4,Negative_4,Helps with_4,Feeling_5,Negative_5,Helps with_5,THC,CBD,Flavor_1,Flavor_2,Flavor_3
1169,Alien Reunion,Hybrid,4.9,11.0,Myrcene,Relaxed,Dry mouth,Headaches,Euphoric,Dizzy,Inflammation,Uplifted,Dry eyes,Lack of appetite,Happy,Headache,Muscle spasms,Energetic,Paranoid,Pain,19.0,0.0,Pungent,Skunk,Cheese
1170,Double Mint,Indica,4.4,8.0,Myrcene,Relaxed,Dry eyes,Stress,Uplifted,Dry mouth,Fatigue,Hungry,,Headaches,Euphoric,,Insomnia,Sleepy,,Lack of appetite,22.0,0.0,Lemon,Mint,Citrus
1171,Spiked Punch,Hybrid,4.5,14.0,Myrcene,Euphoric,Dry mouth,Depression,Relaxed,Dry eyes,Insomnia,Happy,,Pain,Uplifted,,Stress,Sleepy,,,19.0,0.0,Grape,,
1172,Grapefruit Kush,Hybrid,4.3,194.0,,Happy,Dry mouth,Stress,Euphoric,Dry eyes,Anxiety,Relaxed,Paranoid,Depression,Uplifted,Dizzy,Pain,Creative,Anxious,Insomnia,18.0,0.0,Grapefruit,Citrus,Pine
1173,Green Love Potion,Indica,4.4,42.0,Pinene,Relaxed,Dry mouth,Pain,Happy,Dry eyes,Stress,Uplifted,Headache,Anxiety,Euphoric,,Depression,Aroused,,Muscle spasms,17.0,2.0,Sweet,Flowery,Lavender
1174,Blue Lights,Indica,4.6,80.0,Myrcene,Relaxed,Dry mouth,Anxiety,Euphoric,Dizzy,Stress,Happy,Paranoid,Insomnia,Uplifted,Dry eyes,Depression,Sleepy,Anxious,Pain,20.0,1.0,Blueberry,Earthy,Sweet
1175,Brains Damage,Indica,4.5,26.0,Myrcene,Sleepy,Dry mouth,Insomnia,Happy,Anxious,Stress,Relaxed,Dizzy,Lack of appetite,Euphoric,Dry eyes,Depression,Hungry,Headache,Nausea,17.0,11.0,Earthy,Diesel,Grapefruit
1176,White Queen,Hybrid,4.3,45.0,Myrcene,Euphoric,Dry eyes,Stress,Hungry,Dry mouth,Anxiety,Happy,Paranoid,Pain,Relaxed,Anxious,Insomnia,Uplifted,,Migraines,17.0,8.0,Sweet,Diesel,Earthy
1177,Lavender Jones,Hybrid,4.4,208.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Depression,Euphoric,Anxious,Pain,Uplifted,Paranoid,Anxiety,Creative,Dizzy,Insomnia,23.0,1.0,Lavender,Earthy,Flowery
1178,Sweet Amnesia Haze,Sativa,5.0,4.0,Myrcene,Happy,Dry mouth,Depression,Euphoric,Dry eyes,Stress,Uplifted,,ADD,Relaxed,,Fatigue,Focused,,Lack of appetite,20.0,0.0,Sweet,Earthy,Woody
1179,Agent Orange,Hybrid,4.1,1152.0,Myrcene,Happy,Dry mouth,Stress,Uplifted,Dry eyes,Anxiety,Relaxed,Paranoid,Depression,Euphoric,Dizzy,Pain,Energetic,Anxious,Fatigue,15.0,8.0,Citrus,Orange,Sweet
1180,White Gorilla,Hybrid,4.5,61.0,Caryophyllene,Relaxed,Dry eyes,Stress,Euphoric,Dry mouth,Pain,Happy,Dizzy,Anxiety,Uplifted,Headache,Depression,Sleepy,Paranoid,Insomnia,18.0,2.0,Earthy,Citrus,Sweet
1181,Hash Plant,Indica,4.1,457.0,Myrcene,Relaxed,Dry mouth,Pain,Happy,Dry eyes,Stress,Sleepy,Dizzy,Anxiety,Euphoric,Headache,Insomnia,Hungry,Paranoid,Depression,17.0,1.0,Earthy,Spicy/Herbal,Woody
