,Strain Name,Type,Rating,Rating Users,Top Terpene,Feeling_1,Negative_1,Helps with_1,Feeling_2,Negative_2,Helps with_2,Feeling_3,Negative_3,Helps with_3,Feeling_4,Negative_4,Helps with_4,Feeling_5,Negative_5,Helps with_5,THC,CBD,Flavor_1,Flavor_2,Flavor_3
3910,Panama Punch,Sativa,4.7,30.0,Myrcene,Uplifted,Dry eyes,Stress,Happy,Dry mouth,Anxiety,Euphoric,N/A,Depression,Tingly,N/A,Headaches,Relaxed,N/A,Eye pressure,14.0,5.0,Orange,Citrus,Pineapple
3912,Juicy Fruit,Hybrid,4.1,647.0,Myrcene,Happy,Dry mouth,Stress,Euphoric,Dry eyes,Anxiety,Uplifted,Dizzy,Depression,Relaxed,Headache,Pain,Creative,Paranoid,Insomnia,16.0,4.0,Sweet,Citrus,Berry
3913,CHR Super OG,Indica,4.1,18.0,Caryophyllene,Relaxed,Dry mouth,Headaches,Giggly,Paranoid,Insomnia,Sleepy,Anxious,Eye pressure,Happy,Dizzy,Lack of appetite,Uplifted,Dry eyes,Muscle spasms,21.0,0.0,Diesel,Sweet,Strawberry
3915,Oregon Pinot Noir,Sativa,4.7,15.0,Myrcene,Happy,Dizzy,Nausea,Relaxed,Dry eyes,Lack of appetite,Uplifted,Dry mouth,Pain,Hungry,N/A,Stress,Euphoric,N/A,Anorexia,14.0,0.0,Grape,Sweet,Berry
3917,Alien Inferno,Hybrid,4.8,23.0,Myrcene,Happy,Dry mouth,Depression,Uplifted,Anxious,Anxiety,Relaxed,Dry eyes,Stress,Euphoric,N/A,Fatigue,Creative,N/A,Lack of appetite,19.0,0.0,Diesel,Earthy,Pungent
3918,Fruity Chronic Juice,Indica,4.4,46.0,Pinene,Relaxed,Dry eyes,Stress,Happy,Dry mouth,Depression,Euphoric,Anxious,Pain,Uplifted,Dizzy,Lack of appetite,Talkative,Headache,Anxiety,16.0,8.0,Citrus,Grapefruit,Sweet
3924,Race Fuel OG,Hybrid,4.7,47.0,Myrcene,Relaxed,Dry mouth,Pain,Euphoric,Dry eyes,Stress,Happy,Dizzy,Anxiety,Uplifted,N/A,Depression,Focused,N/A,Nausea,19.0,0.0,Diesel,Earthy,Sweet
3927,Gog & Magog,Indica,4.5,13.0,Myrcene,Sleepy,Dry mouth,Insomnia,Relaxed,Dizzy,Lack of appetite,Hungry,N/A,Pain,Happy,N/A,Stress,Euphoric,N/A,Headaches,20.0,0.0,Pungent,Sweet,Flowery
3929,Banjo,Hybrid,4.3,39.0,Myrcene,Euphoric,Anxious,Anxiety,Uplifted,Dry mouth,Stress,Creative,Paranoid,Pain,Happy,Dizzy,Depression,Relaxed,Dry eyes,PMS,19.0,0.0,Diesel,Cheese,Pungent
3934,Lohan,Hybrid,4.3,10.0,Myrcene,Relaxed,Dry eyes,Depression,Hungry,Dry mouth,Pain,Happy,Headache,Stress,Uplifted,N/A,Anxiety,Euphoric,N/A,Headaches,17.0,1.0,Earthy,N/A,N/A
3935,Lambs in Space,Hybrid,4.8,6.0,Caryophyllene,Uplifted,Dry eyes,Depression,Euphoric,Dry mouth,Insomnia,Relaxed,Anxious,Pain,Happy,Dizzy,Stress,Giggly,Paranoid,Anxiety,18.0,0.0,Sweet,Citrus,Pineapple
3938,Chronic,Hybrid,4.4,186.0,Caryophyllene,Happy,Dry mouth,Stress,Giggly,Dry eyes,Depression,Relaxed,Paranoid,Anxiety,Uplifted,Dizzy,Lack of appetite,Euphoric,Anxious,Pain,15.0,1.0,Earthy,Sweet,Pungent
3939,Death By Cake OG,Hybrid,5.0,8.0,Myrcene,Uplifted,Dry eyes,Depression,Relaxed,Dry mouth,Lack of appetite,Happy,Dizzy,Headaches,Euphoric,Paranoid,Inflammation,Energetic,N/A,Insomnia,23.0,0.0,Butter,Woody,N/A
3944,Stevie Wonder,Hybrid,4.4,23.0,Limonene,Happy,Dry mouth,Pain,Focused,Dry eyes,Stress,Uplifted,N/A,Depression,Euphoric,N/A,Headaches,Talkative,N/A,Anxiety,18.0,1.0,Earthy,Pine,Blueberry
3945,Shining Silver Haze,Sativa,4.5,11.0,Myrcene,Uplifted,Dry mouth,Stress,Happy,Dry eyes,Depression,Euphoric,Anxious,Eye pressure,Energetic,Paranoid,Arthritis,Talkative,N/A,Migraines,15.0,9.0,Tropical,Mango,Pine
3946,Blues,Hybrid,3.8,36.0,Myrcene,Happy,Dry mouth,Pain,Relaxed,Dizzy,Stress,Talkative,Paranoid,Depression,Uplifted,Dry eyes,Anxiety,Sleepy,Headache,Headaches,22.0,0.0,Berry,Pungent,Skunk
3947,Thelonious Skunk,Hybrid,4.7,15.0,Myrcene,Euphoric,Dizzy,Depression,Uplifted,Dry mouth,Pain,Relaxed,Dry eyes,Anxiety,Happy,N/A,ADD,Energetic,N/A,Fibromyalgia,18.0,0.0,Citrus,Earthy,Skunk
3949,Viper,Sativa,4.4,55.0,Myrcene,Happy,Dry mouth,Depression,Energetic,Dizzy,Stress,Uplifted,Anxious,Fatigue,Creative,Dry eyes,Pain,Talkative,Headache,Headaches,21.0,0.0,Sweet,Citrus,Flowery
3952,Mazar x Blueberry OG,Hybrid,4.4,1520.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Pain,Euphoric,Dizzy,Anxiety,Uplifted,Paranoid,Depression,Sleepy,Headache,Insomnia,19.0,0.0,Sweet,Earthy,Berry
3954,Sour Tangie,Sativa,4.6,621.0,Myrcene,Happy,Dry mouth,Depression,Uplifted,Dry eyes,Stress,Energetic,Anxious,Anxiety,Euphoric,Dizzy,Fatigue,Creative,Headache,Pain,18.0,9.0,Citrus,Orange,Diesel
3956,Athabasca,Indica,4.7,3.0,Myrcene,Uplifted,Dry mouth,Depression,Talkative,Dry eyes,Seizures,Relaxed,Anxious,Stress,Happy,Dizzy,Anxiety,Hungry,Headache,Epilepsy,8.0,9.0,Earthy,Ammonia,Diesel
3964,Purple Mr. Nice Guy,Indica,4.1,154.0,Caryophyllene,Sleepy,Dry mouth,Pain,Relaxed,Dry eyes,Insomnia,Happy,Dizzy,Stress,Euphoric,Headache,Anxiety,Uplifted,Paranoid,Depression,13.0,7.0,Grape,N/A,N/A
3965,Chemo,Indica,4.4,239.0,Caryophyllene,Relaxed,Dry mouth,Pain,Sleepy,Dry eyes,Insomnia,Hungry,Dizzy,Stress,Happy,Headache,Lack of appetite,Euphoric,Paranoid,Anxiety,17.0,0.0,Earthy,Pungent,Woody
3968,Red Headed Stranger,Sativa,4.5,232.0,Caryophyllene,Happy,Dry mouth,Depression,Energetic,Dry eyes,Stress,Uplifted,Anxious,Anxiety,Euphoric,Dizzy,Fatigue,Focused,Paranoid,Pain,15.0,0.0,Spicy/Herbal,Earthy,Citrus
3970,RudeBoi OG,Hybrid,4.7,103.0,Caryophyllene,Relaxed,Dry mouth,Stress,Happy,Anxious,Depression,Euphoric,Dry eyes,Anxiety,Uplifted,Dizzy,Pain,Focused,Paranoid,Insomnia,20.0,0.0,Earthy,Pine,Pungent
3976,Whitewalker OG,Indica,4.7,104.0,Limonene,Relaxed,Dry eyes,Pain,Happy,Dry mouth,Stress,Sleepy,Paranoid,Depression,Euphoric,Anxious,Anxiety,Uplifted,Headache,Insomnia,20.0,0.0,Cheese,Earthy,Woody
3977,Pineapple Fields,Sativa,4.4,46.0,Ocimene,Happy,Dry mouth,Stress,Uplifted,Anxious,Pain,Euphoric,Paranoid,Anxiety,Relaxed,Dry eyes,Inflammation,Giggly,Dizzy,Depression,18.0,10.0,Tropical,Pineapple,Lemon
3979,Death Bubba,Indica,4.6,368.0,Myrcene,Relaxed,Dry mouth,Pain,Happy,Dry eyes,Insomnia,Sleepy,Dizzy,Stress,Euphoric,Anxious,Anxiety,Hungry,Paranoid,Depression,18.0,9.0,Earthy,Pungent,Sweet
3982,Pure OG,Indica,4.1,79.0,Limonene,Relaxed,Dry mouth,Stress,Sleepy,Dry eyes,Insomnia,Happy,Paranoid,Pain,Euphoric,Dizzy,Anxiety,Hungry,Headache,Nausea,18.0,0.0,Flowery,Pine,Pungent
3983,Mad Dawg,Hybrid,4.3,29.0,Caryophyllene,Happy,Dry mouth,Stress,Relaxed,Dry eyes,Depression,Euphoric,Headache,Insomnia,Uplifted,Anxious,Anxiety,Sleepy,Paranoid,Pain,20.0,0.0,Sweet,Earthy,Pine
3984,Grape Inferno,Indica,4.5,39.0,Myrcene,Relaxed,Dry mouth,Pain,Happy,Dry eyes,Stress,Euphoric,Anxious,Anxiety,Sleepy,Dizzy,Insomnia,Hungry,Paranoid,PTSD,20.0,7.0,Grape,Tropical,Berry
3986,Head Trip,Hybrid,4.2,28.0,Myrcene,Relaxed,Dry eyes,Stress,Happy,Dry mouth,Headaches,Uplifted,Paranoid,Pain,Focused,N/A,Depression,Euphoric,N/A,Insomnia,16.0,1.0,Earthy,Pine,Coffee
3988,Disney Blue,Hybrid,4.5,17.0,Myrcene,Happy,Dry eyes,Stress,Euphoric,Dry mouth,Depression,Creative,N/A,Migraines,Uplifted,N/A,Fatigue,Energetic,N/A,Headaches,18.0,11.0,Berry,Sweet,Grape
3990,Grapefruit Haze,Sativa,4.1,69.0,Myrcene,Happy,Dry mouth,Stress,Euphoric,Dry eyes,Depression,Uplifted,Dizzy,Anxiety,Relaxed,Paranoid,Fatigue,Energetic,Anxious,Lack of appetite,15.0,9.0,Grapefruit,Earthy,Pepper
3992,ECSD,Sativa,4.3,249.0,Myrcene,Happy,Dry mouth,Stress,Energetic,Dry eyes,Depression,Euphoric,Dizzy,Anxiety,Uplifted,Paranoid,Pain,Creative,Headache,Fatigue,18.0,6.0,Diesel,N/A,N/A
3998,Valley Girl,Hybrid,4.7,43.0,Myrcene,Happy,Dry mouth,Stress,Relaxed,Dizzy,Depression,Euphoric,Anxious,Anxiety,Uplifted,N/A,Pain,Creative,N/A,Fatigue,22.0,9.0,Earthy,Sweet,Flowery
3999,SAGE Walker,Hybrid,1.0,2.0,Limonene,Talkative,Dry mouth,Eye pressure,Relaxed,Dry eyes,Nausea,Hungry,N/A,N/A,Focused,N/A,N/A,Euphoric,N/A,N/A,22.0,0.0,Earthy,N/A,N/A
4001,Royal Highness,Hybrid,4.7,61.0,Myrcene,Happy,Dry mouth,Anxiety,Relaxed,Dry eyes,Pain,Energetic,Anxious,Stress,Uplifted,Headache,Depression,Focused,N/A,Lack of appetite,6.0,8.0,Sweet,Earthy,Berry
4002,Dutch Treat,Hybrid,4.3,1020.0,Terpinolene,Euphoric,Dry mouth,Stress,Happy,Dry eyes,Anxiety,Relaxed,Dizzy,Depression,Uplifted,Paranoid,Pain,Creative,Anxious,Insomnia,19.0,0.0,Pine,Sweet,Earthy
4003,Neptune OG,Indica,4.4,43.0,Myrcene,Euphoric,Dry mouth,Insomnia,Sleepy,Dizzy,Stress,Relaxed,Paranoid,Pain,Focused,Anxious,Anxiety,Uplifted,Dry eyes,Muscle spasms,20.0,0.0,Pungent,TreeFruit,Earthy
4009,White Cheese,Hybrid,4.3,43.0,Limonene,Relaxed,Dry mouth,Anxiety,Happy,Dry eyes,Stress,Euphoric,N/A,Depression,Uplifted,N/A,Inflammation,Focused,N/A,Fatigue,16.0,4.0,Cheese,Pungent,Skunk
4010,SFV OG Kush,Indica,4.5,226.0,Myrcene,Relaxed,Dry mouth,Pain,Euphoric,Dry eyes,Stress,Happy,Headache,Insomnia,Sleepy,Dizzy,Anxiety,Hungry,Paranoid,Depression,17.0,9.0,Earthy,Pine,Spicy/Herbal
4012,Golden Panda,Hybrid,4.6,21.0,Terpinolene,Happy,Dry mouth,Stress,Relaxed,Dry eyes,Migraines,Uplifted,Paranoid,Fatigue,Creative,N/A,Headaches,Euphoric,N/A,Insomnia,21.0,0.0,Sweet,Pungent,Citrus
4014,Atomic Goat,Hybrid,4.8,12.0,Terpinolene,Relaxed,Dry eyes,Stress,Happy,Dry mouth,Depression,Uplifted,N/A,Pain,Euphoric,N/A,Anxiety,Energetic,N/A,Headaches,20.0,0.0,Spicy/Herbal,Nutty,Sage
4015,Blood Orange Kush,Indica,4.5,34.0,Myrcene,Happy,Dry mouth,Depression,Uplifted,Dry eyes,Pain,Relaxed,Headache,Stress,Euphoric,Anxious,Headaches,Tingly,Dizzy,Inflammation,19.0,0.0,Orange,Citrus,Sweet
4017,Blackberry x Blueberry,Indica,4.2,37.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dizzy,Depression,Euphoric,Dry eyes,Pain,Sleepy,Headache,Anxiety,Uplifted,N/A,Insomnia,19.0,0.0,Blueberry,Berry,Sweet
4022,Sour LSD,Hybrid,4.3,31.0,Myrcene,Happy,Dry mouth,Stress,Euphoric,Anxious,Pain,Uplifted,Dizzy,Lack of appetite,Relaxed,Headache,Depression,Energetic,Paranoid,Fatigue,17.0,0.0,Earthy,Citrus,Pungent
4027,Romulan Grapefruit,Hybrid,4.3,83.0,Myrcene,Relaxed,Dry mouth,Pain,Euphoric,Dry eyes,Stress,Happy,Dizzy,Anxiety,Uplifted,Headache,Depression,Creative,Paranoid,Insomnia,24.0,0.0,Grapefruit,Citrus,Tropical
4035,B-Witched,Hybrid,4.9,16.0,Myrcene,Relaxed,Dry mouth,Stress,Uplifted,Dry eyes,PTSD,Euphoric,N/A,Anxiety,Hungry,N/A,Depression,Happy,N/A,Insomnia,20.0,0.0,Sweet,Berry,Citrus
4037,Tangie Ghost Train,Sativa,4.7,9.0,Myrcene,Uplifted,Dry mouth,Stress,Happy,Anxious,Depression,Energetic,Dry eyes,Fatigue,Focused,Paranoid,Lack of appetite,Euphoric,N/A,ADD,17.0,0.0,Citrus,Flowery,Chemical
4040,Beastmode 2.0,Indica,4.5,17.0,Myrcene,Relaxed,Dizzy,Pain,Happy,Dry eyes,Stress,Uplifted,Dry mouth,Insomnia,Euphoric,N/A,Lack of appetite,Sleepy,N/A,Muscle spasms,21.0,10.0,Woody,Lemon,Pine
4041,Waipi'o Hapa,Sativa,4.5,10.0,Myrcene,Uplifted,Dry mouth,Pain,Happy,Dry eyes,Stress,Euphoric,N/A,Anxiety,Energetic,N/A,Spinal cord injury,Creative,N/A,N/A,17.0,11.0,Tropical,N/A,N/A
4042,Crypt,Hybrid,4.4,19.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Depression,Focused,Headache,Headaches,Euphoric,Paranoid,Pain,Uplifted,N/A,ADD,19.0,0.0,Sweet,Cheese,Pungent
4043,Sugar Plum,Sativa,4.4,53.0,Myrcene,Uplifted,Dry mouth,Pain,Happy,Dry eyes,Stress,Euphoric,Anxious,Anxiety,Relaxed,Headache,Depression,Energetic,Dizzy,Lack of appetite,17.0,0.0,Berry,Earthy,Sweet
4044,Moondance,Sativa,4.6,8.0,Myrcene,Creative,Anxious,Inflammation,Euphoric,Dry eyes,Pain,Energetic,Dry mouth,Stress,Uplifted,N/A,Depression,Happy,N/A,Fatigue,19.0,9.0,Spicy/Herbal,Sweet,Citrus
4045,Guava Cake,Hybrid,4.3,16.0,Caryophyllene,Tingly,Dizzy,Depression,Relaxed,Dry mouth,Headaches,Euphoric,Dry eyes,Nausea,Happy,Headache,Stress,Giggly,N/A,Anxiety,20.0,0.0,Sweet,N/A,N/A
4046,Hindu Skunk,Indica,4.1,107.0,Myrcene,Euphoric,Dry mouth,Stress,Relaxed,Dry eyes,Anxiety,Happy,Dizzy,Pain,Uplifted,Headache,Depression,Hungry,Paranoid,Insomnia,15.0,6.0,Skunk,Orange,Earthy
4052,$100 OG,Hybrid,2.8,508.0,Myrcene,Euphoric,Dry mouth,Stress,Creative,Dry eyes,Anxiety,Uplifted,Dizzy,Pain,Happy,Paranoid,Depression,Focused,Headache,Insomnia,17.0,0.0,Earthy,Orange,Flowery
4054,Blowfish,Hybrid,4.2,42.0,Myrcene,Relaxed,Dry mouth,Pain,Uplifted,Dry eyes,Insomnia,Euphoric,Headache,Stress,Happy,N/A,Anxiety,Focused,N/A,Depression,18.0,0.0,Lime,Lemon,Orange
4059,Night Nurse,Indica,4.5,87.0,Caryophyllene,Relaxed,Dry mouth,Insomnia,Sleepy,Dry eyes,Pain,Happy,Dizzy,Stress,Euphoric,Anxious,Anxiety,Hungry,Paranoid,Depression,15.0,0.0,Pine,Earthy,Woody
4065,Stardawg,Hybrid,4.4,671.0,Caryophyllene,Happy,Dry mouth,Stress,Relaxed,Dry eyes,Depression,Uplifted,Dizzy,Anxiety,Euphoric,Anxious,Pain,Focused,Paranoid,Lack of appetite,21.0,0.0,Earthy,Diesel,Pine
4066,Outer Space,Sativa,4.5,157.0,Myrcene,Uplifted,Dry mouth,Stress,Energetic,Dry eyes,Anxiety,Euphoric,Anxious,Depression,Happy,Paranoid,Pain,Creative,Headache,Fatigue,18.0,0.0,Citrus,Sweet,Earthy
4068,Blackberry Rhino,Indica,4.3,29.0,Myrcene,Relaxed,Dry mouth,Pain,Happy,Dry eyes,Stress,Uplifted,Anxious,Anxiety,Hungry,Dizzy,Insomnia,Giggly,Paranoid,Muscle spasms,16.0,0.0,Berry,Sweet,Spicy/Herbal
4070,Wookies,Hybrid,4.7,109.0,Myrcene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Pain,Euphoric,Anxious,Anxiety,Uplifted,Dizzy,Insomnia,Sleepy,Headache,Depression,20.0,0.0,Earthy,Berry,Pungent
4071,Darkside OG,Indica,4.7,16.0,Pinene,Relaxed,Dry mouth,Stress,Euphoric,Dizzy,Anxiety,Sleepy,Dry eyes,Insomnia,Happy,N/A,Muscle spasms,Uplifted,N/A,Pain,20.0,0.0,Lemon,Citrus,Skunk
4077,Black Cherry Soda,Hybrid,4.3,390.0,Limonene,Relaxed,Dry mouth,Stress,Happy,Dry eyes,Pain,Euphoric,Dizzy,Depression,Uplifted,Anxious,Anxiety,Creative,Headache,Headaches,18.0,0.0,Earthy,Sweet,Berry
