,Strain Name,Flavors
858,K2,"['Woody', 'Earthy', 'Pine']"
859,Alien Hallucination,"['Lemon', 'Sweet', 'Citrus']"
860,Freezeland,"['Sweet', 'Woody', 'Earthy']"
861,White Fire 43,"['Earthy', 'Diesel', 'Woody']"
862,Chem Scout,"['Earthy', 'Diesel', 'Skunk']"
863,Crown OG,"['Earthy', 'Pine', 'Pungent']"
864,White Siberian,"['Woody', 'Earthy', 'Sweet']"
865,Firewalker OG,"['Woody', 'Spicy/Herbal', 'Citrus']"
866,Lemon Meringue,"['Lemon', 'Citrus', 'Sweet']"
867,Sour Sunset,"['Pungent', 'Lemon', 'TreeFruit']"
868,Sin Valley OG,"['Earthy', 'Lemon', 'Citrus']"
869,Anesthesia,"['Earthy', 'Pungent', 'Sweet']"
870,Asian Fantasy,"['Earthy', 'Sweet', 'Lime']"
871,Pez,"['Sweet', 'Pine', 'Earthy']"
872,Pine Tar Kush,"['Pine', 'Earthy', 'Woody']"
873,Bugatti OG,"['Earthy', 'Pine', 'Woody']"
874,Katsu Kush,"['Pungent', 'Earthy', 'Sweet']"
875,Sirius Black,"['Berry', 'Grape', 'Sweet']"
876,Red Haze,"['Earthy', 'Woody', 'Sage']"
877,Strawberry Ice,"['Strawberry', 'Sweet', 'Berry']"
878,Candy Cane,"['Sweet', 'Earthy', 'Pine']"
879,Chocolate Fondue,"['Sweet', 'Coffee', 'Cheese']"
880,Green Lantern,"['Pungent', 'Pine', 'Citrus']"
881,Blue Nightmare,"['Blueberry', 'Berry', 'Spicy/Herbal']"
882,Mango Dream,"['Mango', 'Sweet', 'Citrus']"
883,Apple Jack,"['Apple', 'Sweet', 'Earthy']"
884,Purple Champagne,"['Grape', 'Berry', 'Sweet']"
885,Supermax OG,"['Pine', 'Citrus', 'Woody']"
886,B-52,"['Earthy', 'Sweet', 'Berry']"
887,Elvis,"['Diesel', 'Rose', 'Cheese']"
888,GRiZ Kush,"['Earthy', 'Skunk', 'Flowery']"
889,In The Pines,"['Pine', 'Earthy', 'Sweet']"
890,Melon Gum,"['Lavender', 'Earthy', 'Sweet']"
891,Supernova,"['Citrus', 'Earthy', 'Sweet']"
892,Guava Chem,"['Sweet', 'Citrus', 'Pine']"
893,Oregon Pineapple,"['Pineapple', 'Earthy', 'Sweet']"
894,Dawg’s Waltz,"['Earthy', 'Skunk', 'Sweet']"
895,Sour Willie,"['Pungent', 'Citrus', 'Sweet']"
896,Armageddon,"['Citrus', 'Pungent', 'Earthy']"
897,Tokyo OG,"['Pine', 'Orange', 'Lemon']"
898,1024,"['Sweet', 'Tropical', 'Spicy/Herbal']"
899,OG Poison,"['Earthy', 'Pungent', 'Diesel']"
900,Dream Star,"['Earthy', 'Sweet', 'Berry']"
901,Monkey Paw,"['Citrus', 'Skunk', 'Pungent']"
902,Alpha OG,"['Earthy', 'Pine', 'Spicy/Herbal']"
903,Zeus OG,"['Sweet', 'Skunk', 'Earthy']"
904,White 99,"['Citrus', 'Pine', 'Tropical']"
905,Sweet and Sour Widow,"['Earthy', 'Sweet', 'Pungent']"
906,Grand Doggy Purps,"['Grape', 'Earthy', 'Pungent']"
907,Durban Cookies,"['Earthy', 'Pungent', 'Flowery']"
908,Avi-Dekel,"['Earthy', 'Nutty', 'Sweet']"
909,U2 Kush,"['Lavender', 'Sweet', 'Skunk']"
910,White Elephant,"['Sweet', 'Earthy', 'Berry']"
911,Cuvee,"['Earthy', 'Woody', 'Pungent']"
912,Wonder Woman OG,"['Menthol', 'Tobacco', 'Citrus']"
913,Super Sweet,"['Sweet', 'Flowery', 'Honey']"
914,Fruit Spirit,"['Spicy/Herbal', 'Earthy', 'Berry']"
915,Cookie Dough,"['Sweet', 'Pungent', 'Lemon']"
916,Fire Haze,"['Woody', 'Earthy', 'Nutty']"
917,Neptune OG,"['Pungent', 'TreeFruit', 'Earthy']"
918,Apple Kush,"['Apple', 'Sweet', 'Diesel']"
919,Nepalese,"['Earthy', 'Citrus', 'Mint']"
920,Loud Dream,"['Sweet', 'Citrus', 'Pine']"
921,VCDC,"['Berry', 'Earthy', 'Citrus']"
922,Sour Bubble,"['Grape', 'Strawberry', 'Lemon']"
923,Saturn OG,"['Earthy', 'Pungent', 'Citrus']"
924,Mad Scientist,"['Earthy', 'Woody', 'Pungent']"
925,Strawberry Amnesia,"['Strawberry', 'Sweet', 'Earthy']"
926,Lemon Sativa,"['Lemon', 'Citrus', 'Sweet']"
927,Dream Berry,"['Sweet', 'Pungent', 'Tropical']"
928,Light of Jah,"['Pine', 'Pepper', 'Woody']"
929,Sour Candy,"['Sweet', 'Earthy', 'Pine']"
930,Dank Schrader,"['Sweet', 'Pine', 'Earthy']"
931,Purple Panty Dropper,"['Grape', 'Earthy', 'Plum']"
932,Sour Flower,"['Earthy', 'Skunk', 'Citrus']"
933,White Cheese,"['Cheese', 'Pungent', 'Skunk']"
934,Purple Ice,"['Sweet', 'Berry', 'Sage']"
935,Hawaiian Purple Kush,"['Tropical', 'Earthy', 'Pungent']"
936,Aloha,"['Citrus', 'Pineapple', 'Sweet']"
937,Blowfish,"['Lime', 'Lemon', 'Orange']"
938,Black Haze,"['Spicy/Herbal', 'Berry', 'Lavender']"
939,Blue Lights,"['Blueberry', 'Earthy', 'Sweet']"
940,Monster OG,"['Earthy', 'Spicy/Herbal', 'Citrus']"
941,Burkle,"['Berry', 'Sweet', 'Mint']"
942,LA Kush,"['Pine', 'Citrus', 'Sweet']"
943,Snow Bud,"['Earthy', 'Skunk', 'Woody']"
944,Beastmode OG,"['Earthy', 'Flowery', 'Pine']"
945,Satellite OG,"['Pungent', 'Sweet', 'Pine']"
946,Dog Shit,"['Earthy', 'Woody', 'Pine']"
947,Maple Leaf Indica,"['Honey', 'Pine', 'Woody']"
948,Grape Skunk,"['Grape', 'Skunk', 'Sweet']"
949,White Queen,"['Sweet', 'Diesel', 'Earthy']"
950,Lifesaver,"['Flowery', 'Sweet', 'Grapefruit']"
951,Black ’84,"['Pungent', 'Grape', 'Sweet']"
952,Madman OG,"['Earthy', 'Pine', 'Coffee']"
953,SnowLAnd,"['Lemon', 'Earthy', 'Citrus']"
954,Grape OX,"['Grape', 'Pine', 'Lavender']"
955,Hippie Chicken,"['Sweet', 'TreeFruit', 'Pepper']"
956,Super Sour OG,"['Diesel', 'Earthy', 'Berry']"
957,Honey Boo Boo,"['Sweet', 'Honey', 'Earthy']"
958,Gigabud,"['Woody', 'Earthy', 'Berry']"
959,Rolls Choice,"['Pine', 'Diesel', 'Skunk']"
960,Shaman,"['Sweet', 'Grape', 'Flowery']"
961,Sweet Dreams,"['Skunk', 'Pungent', 'Sweet']"
962,Blue Sky,"['Earthy', 'Pungent', 'Spicy/Herbal']"
963,Alien Asshat,"['Citrus', 'Pungent', 'Earthy']"
964,Jack Widow,"['Sweet', 'Mango', 'Earthy']"
965,El Chapo OG,"['Pine', 'Earthy', 'Spicy/Herbal']"
966,Purple Jack,"['Sweet', 'Earthy', 'Berry']"
967,Pineapple Dog Shit,"['Pineapple', 'Citrus', 'Chemical']"
968,Barbara Bud,"['Sweet', 'Citrus', 'Earthy']"
969,Jack Kush,"['Sweet', 'Citrus', 'Pungent']"
970,GMO Cookies,"['Earthy', 'Chemical', 'Spicy/Herbal']"
971,Grand Hustle,"['Earthy', 'Citrus', 'Honey']"
972,Cookies and Dream,"['Citrus', 'Pungent', 'Sweet']"
973,Glad Max,"['Earthy', 'Sweet', 'Flowery']"
974,Blue Wreck,"['Skunk', 'Blueberry', 'Earthy']"
975,Iced Widow,"['Sweet', 'Berry', 'Earthy']"
976,Mother’s Milk,"['Earthy', 'Sweet', 'Spicy/Herbal']"
977,Thai Lights,"['Sweet', 'Flowery', 'Vanilla']"
978,Blue Ivy,"['Blueberry', 'Sweet', 'Flowery']"
979,Future,"['Earthy', 'Pine', 'Diesel']"
980,Killing Fields,"['Earthy', 'Lemon', 'Citrus']"
981,Green Haze,"['Woody', 'Spicy/Herbal', 'Flowery']"
982,Kushage,"['Spicy/Herbal', 'Woody', 'Earthy']"
983,Red Cherry Berry,"['Berry', 'Earthy', 'Sweet']"
984,Ace Killer OG,"['Earthy', 'Diesel', 'Pine']"
985,Blueberry Pancakes,"['Blueberry', 'Sweet', 'Berry']"
986,Blue Magic,"['Citrus', 'Lemon', 'Blueberry']"
987,Dream Lotus,"['Spicy/Herbal', 'Tea', 'Pine']"
988,Soul Assassin OG,"['Diesel', 'Lemon', 'Citrus']"
989,Starfighter,"['Pine', 'Sweet', 'Woody']"
990,Electric Lemon G,"['Lemon', 'Citrus', 'Sweet']"
991,Blue Dot,"['Earthy', 'Honey', 'Vanilla']"
992,Aurora Borealis,"['Flowery', 'Earthy', 'Woody']"
993,CBD Mango Haze,"['Mango', 'Citrus', 'Sweet']"
994,Sour Power,"['Earthy', 'Sweet', 'Citrus']"
995,Double Diesel,"['Diesel', 'Grapefruit', 'Citrus']"
996,Edelweiss,"['Mint', 'Lime', 'Lemon']"
997,Nightmare Cookies,"['Sweet', 'Earthy', 'Vanilla']"
998,Blurple,"['Berry', 'Sweet', 'Flowery']"
999,Ultimate Trainwreck,"['Tropical', 'Spicy/Herbal', 'Mint']"
1000,Cherry Limeade,"['Lime', 'Berry', 'Sweet']"
1001,Qleaner,"['Citrus', 'Tropical', 'Flowery']"
1002,Orange Skunk,"['Orange', 'Skunk', 'Citrus']"
1003,Bettie Page,"['Berry', 'Cheese', 'Blueberry']"
1004,Brian Berry Cough,"['Strawberry', 'Plum', 'Berry']"
1005,Shangri-La,"['Citrus', 'Sweet', 'Earthy']"
1006,Good Medicine,"['Earthy', 'Spicy/Herbal', 'Citrus']"
1007,Fruity Chronic Juice,"['Citrus', 'Grapefruit', 'Sweet']"
1008,Walker Kush,"['Diesel', 'Woody', 'Earthy']"
1009,Aceh,"['Earthy', 'Woody', 'Pungent']"
1010,Lemon Bubble,"['Lemon', 'Woody', 'Pine']"
1011,Frosty,"['Sweet', 'Earthy', 'Pungent']"
1012,Happy Rancher,"['Pepper', 'Lemon', 'Skunk']"
1013,Red Eye OG,"['Earthy', 'Pungent', 'Pine']"
1014,Super Cheese,"['Lime', 'Cheese', 'Earthy']"
1015,Blues,"['Berry', 'Pungent', 'Skunk']"
1016,Lemon Pie,"['Lemon', 'Citrus', 'Sweet']"
1017,Chiquita Banana,"['Sweet', 'Tropical', 'Berry']"
1018,Ken’s Kush,"['Woody', 'Berry', 'Plum']"
1019,Chloe,"['Earthy', 'Pepper', 'Citrus']"
1020,Tres Dawg,"['Diesel', 'Sweet', 'Earthy']"
1021,Eran Almog,"['Woody', 'Earthy', 'Citrus']"
1022,K-Train,"['Lavender', 'Earthy', 'Citrus']"
1023,Ray Charles,"['Earthy', 'Sweet', 'Spicy/Herbal']"
1024,Hawaiian Sativa,"['Citrus', 'Sweet', 'Tropical']"
1025,African,"['Pungent', 'Flowery', 'Spicy/Herbal']"
1026,Afghan Diesel,"['Earthy', 'Skunk', 'Tar']"
1027,Funfetti,"['Sweet', 'Flowery', 'Berry']"
1028,Venice OG,"['Pungent', 'Pine', 'Citrus']"
1029,Blackberry Lime Haze,"['Berry', 'Sweet', 'Lime']"
1030,White Skunk,"['Woody', 'Pungent', 'Spicy/Herbal']"
1031,Hell Raiser OG,"['Pine', 'Citrus', 'Woody']"
1032,Frank’s Gift,"['Earthy', 'Woody', 'Sweet']"
1033,White Lotus,"['Earthy', 'Citrus', 'Flowery']"
1034,Purple Cotton Candy,"['Lavender', 'Sweet', 'Violet']"
1035,Gravity,"['Sweet', 'Citrus', 'Rose']"
1036,Memory Loss,"['Earthy', 'Citrus', 'Woody']"
1037,Lucy,"['Earthy', 'Woody', 'Citrus']"
1038,Star Tonic,"['Citrus', 'Lemon', 'Woody']"
1039,White Gorilla,"['Earthy', 'Citrus', 'Sweet']"
1040,Kalashnikova,"['Sweet', 'Earthy', 'Citrus']"
1041,Purple Headband,"['Berry', 'Sweet', 'Grape']"
1042,Buddha Haze,"['Earthy', 'Sweet', 'Flowery']"
1043,Stardawg Guava,"['Tropical', 'Sweet', 'Flowery']"
1044,Area 51,"['Earthy', 'Flowery', 'Pungent']"
1045,Omega,"['Earthy', 'Pine', 'Spicy/Herbal']"
1046,Professor Chaos,"['Earthy', 'Sweet', 'Citrus']"
1047,Yummy,"['Mint', 'Sweet', 'Tropical']"
1048,Nurse Jackie,"['Earthy', 'Lemon', 'Diesel']"
1049,Heisenberg Kush,"['Berry', 'Grape', 'Earthy']"
1050,Julius Caesar,"['Earthy', 'Sweet', 'Pine']"
1051,Sunshine #4,"['Citrus', 'Sweet', 'Lemon']"
1052,Lemon OG Haze,"['Lemon', 'Earthy', 'Citrus']"
1053,Tropicali,"['Pineapple', 'Tropical', 'Sweet']"
1054,Skunk Dawg,"['Skunk', 'Earthy', 'Diesel']"
1055,Big Sur Holy Bud,"['Sweet', 'Citrus', 'Pine']"
1056,Purple Paralysis,"['Honey', 'Sweet', 'Lavender']"
1057,Chocolate Diesel,"['Sweet', 'Nutty', 'Coffee']"
1058,Northern Lights #5 x Haze,"['Spicy/Herbal', 'Earthy', 'Pine']"
1059,The Third Dimension,"['Citrus', 'Lemon', 'Lime']"
1060,Red Poison,"['Earthy', 'Citrus', 'Woody']"
1061,Hawaiian Fire,"['Tropical', 'Sweet', 'Strawberry']"
1062,Carl Sagan,"['Sweet', 'Tropical', 'Earthy']"
1063,Lavender Haze,"['Lavender', 'Earthy', 'Blueberry']"
1064,Blueberry OG,"['Blueberry', 'Berry', 'Earthy']"
1065,P-51,"['Earthy', 'Diesel', 'Spicy/Herbal']"
1066,Tranquil Elephantizer: Remix,"['Pepper', 'Spicy/Herbal', 'Grape']"
1067,Lime Haze,"['Lime', 'Sweet', 'Citrus']"
1068,Royal Haze,"['Citrus', 'Earthy', 'Woody']"
1069,Alien Rift,"['Earthy', 'Citrus', 'Diesel']"
1070,Sensi Skunk,"['Citrus', 'Skunk', 'Earthy']"
1071,Panda OG,"['Berry', 'Pungent', 'Chemical']"
1072,Blackberry Haze,"['Berry', 'Sweet', 'Flowery']"
1073,Blackberry Rhino,"['Berry', 'Sweet', 'Spicy/Herbal']"
1074,Purple Thai,"['Woody', 'Lemon', 'Flowery']"
1075,Valley Girl,"['Earthy', 'Sweet', 'Flowery']"
1076,Frisian Dew,"['Woody', 'Pungent', 'Earthy']"
1077,Wellness OG,"['Diesel', 'Pine', 'Earthy']"
1078,El Niño,"['Sweet', 'Earthy', 'Tropical']"
1079,Purple Tangie,"['Citrus', 'Orange', 'Earthy']"
1080,Purple Bubba,"['Berry', 'Sweet', 'Spicy/Herbal']"
1081,Godzilla,"['Earthy', 'Berry', 'Diesel']"
1082,Sweet Black Angel,"['Earthy', 'Sweet', 'Berry']"
1083,Gooberry,"['Berry', 'Blueberry', 'Sweet']"
1084,Head Trip,"['Earthy', 'Pine', 'Coffee']"
1085,Sourlope,"['Sweet', 'Tropical', 'Pungent']"
1086,The Cough,"['Pungent', 'Earthy', 'Diesel']"
1087,Blue Bastard,"['Berry', 'Pine', '']"
1088,Michael Phelps OG,"['Pine', 'Diesel', 'Pungent']"
1089,The One,"['Sweet', 'Pine', 'Pungent']"
1090,OG LA Affie,"['Earthy', 'Sweet', 'Citrus']"
1091,Mammoth,"['Honey', 'Earthy', 'Woody']"
1092,Captain’s Cake,"['Earthy', 'Sweet', 'Flowery']"
1093,Enigma,"['Citrus', 'Pungent', 'Flowery']"
1094,Root Beer Kush,"['Sweet', 'Vanilla', 'Earthy']"
1095,Orange Juice,"['Orange', 'Diesel', 'Sweet']"
1096,Spirit of ’76,"['Flowery', 'Earthy', 'Pine']"
1097,Jamaican Lion,"['Earthy', 'Tropical', 'Sweet']"
1098,King’s Bread,"['Citrus', 'Lemon', 'Earthy']"
1099,Belladonna,"['Earthy', 'Nutty', 'Tar']"
1100,Hashplant Haze,"['Blueberry', 'Pepper', 'Sweet']"
1101,Hawaiian Diesel,"['Tropical', 'Sweet', 'Pungent']"
1102,NightFire OG,"['Sweet', 'Lemon', 'Earthy']"
1103,Nebula II CBD,"['Earthy', 'Woody', 'Spicy/Herbal']"
1104,BC Sweet Tooth,"['Sweet', 'Flowery', 'Berry']"
1105,UltraViolet OG,"['Flowery', 'Citrus', 'Violet']"
1106,Crunch Berry Kush,"['Berry', 'Sweet', 'Citrus']"
1107,Elderberry Kush,"['Sweet', 'Berry', 'Woody']"
1108,Chunky Diesel,"['Earthy', 'Diesel', 'Coffee']"
1109,Ice Wreck,"['Earthy', 'Chemical', 'Menthol']"
1110,Morning Star,"['Citrus', 'Pine', 'Sweet']"
1111,Dance World,"['Lime', 'Pine', 'Earthy']"
1112,Sour Pebbles,"['Sweet', 'Berry', 'Flowery']"
1113,J-27,"['Pungent', 'Citrus', 'Orange']"
1114,Skunk 47,"['Earthy', 'Skunk', 'Pungent']"
1115,BC Roadkill,"['Citrus', 'Tropical', 'Pungent']"
1116,OG Strawberry,"['Berry', 'Strawberry', 'Sweet']"
1117,Pineapple Fields,"['Tropical', 'Pineapple', 'Lemon']"
1118,White Tahoe Cookies,"['Sweet', 'Earthy', 'Diesel']"
1119,Jack Wreck,"['Citrus', 'Ammonia', 'Earthy']"
1120,Blackberry x Blueberry,"['Blueberry', 'Berry', 'Sweet']"
1121,Strawberry Satori,"['Strawberry', 'Berry', 'Pungent']"
1122,Purple Cheddar,"['Grape', 'Pungent', 'Flowery']"
1123,Ghost Bubba,"['Earthy', 'Citrus', 'Tea']"
1124,Royal Highness,"['Sweet', 'Earthy', 'Berry']"
1125,Lee Roy,"['Earthy', 'Pungent', 'Citrus']"
1126,Sunburn,"['Earthy', 'Citrus', 'Diesel']"
1127,Crater Lake,"['Citrus', 'Lemon', 'Sweet']"
1128,Skydog,"['Lemon', 'Earthy', 'Sweet']"
1129,Big White,"['Diesel', 'Flowery', 'Sweet']"
1130,Jazz,"['Flowery', 'Citrus', 'Pepper']"
1131,Durban Berry,"['Berry', 'Sweet', 'Blueberry']"
1132,Critical Widow,"['Sweet', 'Skunk', 'Diesel']"
1133,Cherry Sherbet,"['Sweet', 'Berry', 'Flowery']"
1134,Thai Girl,"['Sweet', 'Tropical', 'Spicy/Herbal']"
1135,Alohaberry,"['Berry', 'Apple', 'Chestnut']"
1136,The Doctor,"['Earthy', 'Skunk', 'Sweet']"
1137,Locomotion,"['Earthy', 'Sweet', 'Diesel']"
1138,818 OG,"['Flowery', 'Pungent', 'Sweet']"
1139,South American,"['Earthy', 'Woody', 'Ammonia']"
1140,Stella Blue,"['Blueberry', 'Pungent', 'Pine']"
1141,Thai Haze,"['Pepper', 'Citrus', 'Pine']"
1142,Rockstar Master Kush,"['Sweet', 'Earthy', 'Pine']"
1143,White Haze,"['Earthy', 'Pine', 'Lemon']"
1144,Argyle,"['Spicy/Herbal', 'Pine', 'Earthy']"
1145,Black Label Kush,"['Earthy', 'Woody', 'Spicy/Herbal']"
1146,Pineapple Punch,"['Pineapple', 'Tropical', 'Mango']"
1147,Erez,"['Spicy/Herbal', 'Berry', 'Blueberry']"
1148,Flo OG,"['Earthy', 'Sweet', 'Pungent']"
1149,Blackberry Bubble,"['Berry', 'Blueberry', 'Sweet']"
1150,Alien Bubba,"['Earthy', 'Berry', 'Citrus']"
1151,5th Element,"['Earthy', 'Pungent', 'Lemon']"
1152,Suzy Q,"['Pine', 'Earthy', 'Spicy/Herbal']"
1153,Harmony,"['Citrus', 'Lemon', 'Earthy']"
1154,Jack 47,"['Lemon', 'Citrus', 'Sweet']"
1155,Red Dwarf,"['Earthy', 'Orange', 'Pine']"
1156,Double Purple Doja,"['Earthy', 'Grape', 'Pungent']"
1157,OG’s Pearl,"['Earthy', 'Pungent', 'Sweet']"
1158,Sour Joker,"['Citrus', 'Diesel', 'Sweet']"
1159,Crimea Blue,"['Blueberry', 'Flowery', 'Sweet']"
1160,Blue Velvet,"['Sweet', 'Berry', 'Blueberry']"
1161,Schrom,"['Lemon', 'Citrus', 'Lime']"
1162,Chemdog #4 x Alien OG Kush,"['Skunk', 'Earthy', 'Nutty']"
1163,Ultra Sonja,"['TreeFruit', 'Earthy', 'Cheese']"
1164,Sonoma Coma,"['Citrus', 'Tropical', 'Spicy/Herbal']"
1165,Katsu Bubba Kush,"['Berry', 'Flowery', 'Earthy']"
1166,Misty Kush,"['Citrus', 'Earthy', 'Sweet']"
1167,Purple Hashplant,"['Earthy', 'Flowery', 'Berry']"
1168,Skunky Diesel,"['Skunk', 'Diesel', 'Earthy']"
1169,Space Jill,"['', '', '']"
1170,Sour LSD,"['Earthy', 'Citrus', 'Pungent']"
1171,SleeStack,"['Diesel', 'Earthy', 'Sweet']"
1172,Super Sour Widow,"['Apricot', 'Spicy/Herbal', 'Citrus']"
1173,Gummy Bears,"['Sweet', 'Berry', 'Strawberry']"
1174,Special K,"['Flowery', 'Sweet', 'Earthy']"
1175,Think Different,"['Spicy/Herbal', 'Orange', 'Menthol']"
1176,Bananas,"['Tropical', 'TreeFruit', 'Sweet']"
1177,Odyssey,"['Orange', 'Sweet', 'Earthy']"
1178,Mother Tongue,"['Pungent', 'Woody', 'Cheese']"
1179,Jimi Hendrix,"['Citrus', 'Sweet', 'Earthy']"
1180,White Dream,"['Sweet', 'Citrus', 'Flowery']"
1181,Boggle Gum,"['Sweet', 'Citrus', 'Earthy']"
1182,Omega Dawg,"['Skunk', 'Diesel', 'Sweet']"
1183,Magnum,"['Lemon', 'Citrus', 'Earthy']"
1184,Twisted Citrus,"['Citrus', 'Orange', 'Grapefruit']"
1185,Trident,"['Citrus', 'Woody', 'Pine']"
1186,LVPK,"['Sweet', 'Earthy', 'Spicy/Herbal']"
1187,Predator Pink,"['Sweet', 'Tropical', 'Earthy']"
1188,Caramelo,"['Woody', 'Sweet', 'Flowery']"
1189,Hawaiian Cookies,"['Flowery', 'Sweet', 'Berry']"
1190,Afghan Big Bud,"['Vanilla', 'Sweet', 'Earthy']"
1191,LA Ultra,"['Lemon', 'Chemical', 'Lime']"
1192,Purple Widow,"['Sweet', 'Woody', 'Berry']"
1193,Karma Bitch,"['Earthy', 'Sweet', 'Coffee']"
1194,ChemWreck,"['Pungent', 'Chemical', 'Earthy']"
1195,Dopium,"['Pine', 'Pungent', 'Chemical']"
1196,Frostbite,"['Earthy', 'Tea', 'Lime']"
1197,Acid,"['Diesel', 'Earthy', 'Citrus']"
1198,Master Skunk,"['Skunk', 'Pungent', 'Lemon']"
1199,Purple Rhino,"['Earthy', 'Woody', 'Sweet']"
1200,Lemon Cake,"['Lemon', 'Cheese', 'Earthy']"
1201,Rene,"['Sweet', 'Earthy', 'Rose']"
1202,Biochem,"['Flowery', 'Spicy/Herbal', 'Earthy']"
1203,Amethyst Bud,"['Berry', 'Sweet', 'Flowery']"
1204,Lowryder,"['Earthy', 'Pine', 'Woody']"
1205,Chong Star,"['Honey', 'Skunk', 'Woody']"
1206,Black Bubba,"['BlueCheese', 'Earthy', 'Pine']"
1207,Lime Green Skunk,"['Lime', 'Citrus', 'Flowery']"
1208,Russian Rocket Fuel,"['Diesel', 'Earthy', 'Spicy/Herbal']"
1209,Blackberry Trainwreck,"['Berry', 'Flowery', 'Sweet']"
1210,Blueberry AK,"['Blueberry', 'Sweet', 'Skunk']"
1211,Sweet Deep Grapefruit,"['Grapefruit', 'Citrus', 'Spicy/Herbal']"
1212,Punky Lion,"['Lime', 'Earthy', 'Sweet']"
1213,Purple Star,"['Berry', 'Grape', 'Earthy']"
1214,Crazy Miss Hyde,"['Sweet', 'Earthy', 'Citrus']"
1215,American Kush,"['Sweet', 'Spicy/Herbal', 'Coffee']"
1216,Sour Headband,"['Diesel', 'Pungent', 'Citrus']"
1217,Sour Bubba,"['Spicy/Herbal', 'Sweet', 'Diesel']"
1218,Mad Dawg,"['Sweet', 'Earthy', 'Pine']"
1219,Eugene Cream,"['Sweet', 'Earthy', 'Berry']"
1220,Zen,"['Lavender', 'Earthy', 'Sweet']"
1221,Extreme Cream,"['Earthy', 'Sweet', 'Butter']"
1222,Butter OG,"['Butter', 'Apple', 'Vanilla']"
1223,Strawberry Mango Haze,"['Strawberry', 'Spicy/Herbal', 'Grape']"
1224,Strawberry OG,"['Strawberry', 'Sweet', 'Berry']"
1225,Grape Inferno,"['Grape', 'Tropical', 'Berry']"
1226,Blackberry Hashplant,"['Berry', 'Sweet', 'Earthy']"
1227,Limon,"['Lemon', 'Citrus', 'Earthy']"
1228,Grape Cookies,"['Grape', 'Woody', 'Berry']"
1229,Godfather Purple Kush,"['Berry', 'Grape', 'Earthy']"
1230,Crown Royale,"['Flowery', 'Earthy', 'Sweet']"
1231,Sugar Punch,"['Lemon', 'Sweet', 'Berry']"
1232,Sugar Mama,"['Sweet', 'Grapefruit', 'Pungent']"
1233,Dutch Queen,"['Earthy', 'Sweet', 'Pungent']"
1234,Kush Cleaner,"['Woody', 'Pine', 'Earthy']"
1235,Alien Inferno,"['Diesel', 'Earthy', 'Pungent']"
1236,Khufu,"['Sweet', 'Pungent', 'Earthy']"
1237,Electric Kool Aid,"['Berry', 'Citrus', 'Tropical']"
1238,Jock Horror,"['Sweet', 'Berry', 'Earthy']"
1239,Sublime,"['Spicy/Herbal', 'Sweet', 'Woody']"
1240,Luca Brasi x Sour Diesel,"['Earthy', 'Lemon', 'Pungent']"
1241,Stevie Wonder,"['Earthy', 'Pine', 'Blueberry']"
1242,Dark Blue Dream,"['Earthy', 'Blueberry', 'Sweet']"
1243,Alpine Star,"['Earthy', 'Pine', 'Pungent']"
1244,Lemon Walker OG,"['Citrus', 'Lemon', 'Orange']"
1245,White Durban,"['Earthy', 'Sweet', 'Diesel']"
1246,Blue Blood,"['Blueberry', 'Sweet', 'Pine']"
1247,SFV Dog,"['Pine', 'Woody', 'Diesel']"
1248,Maui Mango Diesel,"['Mango', 'Citrus', 'Sweet']"
1249,Cherry Thunder Fuck,"['Pungent', 'Sweet', 'Berry']"
1250,Digweed,"['Earthy', 'Sweet', 'Skunk']"
1251,Endless Sky,"['Berry', 'Sweet', 'Butter']"
1252,Pluto Kush,"['Berry', 'Skunk', 'Woody']"
1253,Green Love Potion,"['Sweet', 'Flowery', 'Lavender']"
1254,OG Ringo,"['Pine', 'Earthy', 'Sweet']"
1255,Sapphire Star,"['Blueberry', 'Grape', 'Lavender']"
1256,Grand Hindu,"['Grape', 'Earthy', 'Diesel']"
1257,White Slipper,"['Pepper', 'Spicy/Herbal', 'Blueberry']"
1258,Snow Lotus,"['Chemical', 'Flowery', 'Woody']"
1259,Supernatural,"['Citrus', 'Flowery', 'Earthy']"
1260,Boysenberry,"['Earthy', 'Blueberry', 'Berry']"
1261,Funky Monkey,"['Berry', 'Sweet', 'Grape']"
1262,Kraken,"['Earthy', 'Pungent', 'Spicy/Herbal']"
1263,Thor’s Hammer,"['Sweet', 'Sage', 'Pungent']"
1264,Wookies,"['Earthy', 'Berry', 'Pungent']"
1265,Sweet Baby Jane,"['Sage', 'Citrus', 'Sweet']"
1266,Banana Candy,"['Sweet', 'Tropical', 'Mango']"
1267,Citrus Sunshine Haze,"['Lemon', 'Sweet', 'Mango']"
1268,Haleighs Hope,"['Earthy', 'Woody', 'Flowery']"
1269,Valentine X,"['Earthy', 'Citrus', 'Pungent']"
1270,ArcticBlue,"['Blueberry', 'Sweet', 'Earthy']"
1271,Rubicon,"['Flowery', 'Pungent', 'Tea']"
1272,Snow Monster,"['Earthy', 'Sweet', 'BlueCheese']"
1273,Berkeley,"['Citrus', 'Sweet', 'Pungent']"
1274,Blueberry Essence,"['Blueberry', 'Sweet', 'Mango']"
1275,Sputnik,"['Sweet', 'Flowery', 'Tea']"
1276,Space Cream,"['Sweet', 'Vanilla', 'Butter']"
1277,TJ’s CBD,"['Woody', 'Earthy', 'Pungent']"
