,Strain Name,Flavors
328,Master Yoda,"['Earthy', 'Lemon', 'Pine']"
329,Green Dream,"['Earthy', 'Citrus', 'Sweet']"
330,Sour Jack,"['Citrus', 'Diesel', 'Lemon']"
331,Northern Lights #5,"['Earthy', 'Pine', 'Flowery']"
332,Dirty Girl,"['Citrus', 'Tropical', 'Sweet']"
333,Purple Hindu Kush,"['Grape', 'Earthy', 'Woody']"
334,Burmese Kush,"['Earthy', 'Flowery', 'Sage']"
335,Qrazy Train,"['Sweet', 'Skunk', 'Lemon']"
336,Hell’s OG,"['Earthy', 'Pungent', 'Pine']"
337,Cherry Bomb,"['Sweet', 'Spicy/Herbal', 'Earthy']"
338,Goji OG,"['Berry', 'Sweet', 'Flowery']"
339,Clementine,"['Citrus', 'Orange', 'Lemon']"
340,Tutankhamon,"['Sweet', 'Citrus', 'Pine']"
341,Papaya,"['Tropical', 'Sweet', 'Earthy']"
342,Panama Red,"['Earthy', 'Woody', 'Vanilla']"
343,Charlie Sheen,"['Lemon', 'Sweet', 'Earthy']"
344,Strawberry,"['Strawberry', 'Sweet', 'Berry']"
345,Bubbleberry,"['Sweet', 'Blueberry', 'Berry']"
346,Darth Vader OG,"['Grape', 'Berry', 'Pine']"
347,Jupiter OG,"['Pungent', 'Spicy/Herbal', 'Pepper']"
348,Kosher Tangie,"['Citrus', 'Orange', 'Pine']"
349,Mars OG,"['Woody', 'Pine', 'Earthy']"
350,Alien Rock Candy,"['Sweet', 'Earthy', 'Citrus']"
351,Champagne Kush,"['Lavender', 'Skunk', 'Citrus']"
352,Cannalope Kush,"['Woody', 'Earthy', 'Sweet']"
353,Timewreck,"['Woody', 'Earthy', 'Spicy/Herbal']"
354,Watermelon,"['Sweet', 'Tropical', 'Citrus']"
355,Grape Kush,"['Grape', 'Sweet', 'Cheese']"
356,Critical Jack,"['Citrus', 'Woody', 'Pine']"
357,Orange Haze,"['Earthy', 'Sweet', 'Citrus']"
358,Blue Mystic,"['Blueberry', 'Flowery', 'Berry']"
359,24k Gold,"['Citrus', 'Orange', 'Sweet']"
360,Blue OG,"['Blueberry', 'Earthy', 'Flowery']"
361,Canna-Tsu,"['Earthy', 'Citrus', 'Sweet']"
362,Strawberry Lemonade,"['Lemon', 'Strawberry', 'Sweet']"
363,Scooby Snacks,"['Earthy', 'Sweet', 'Pine']"
364,Abusive OG,"['Earthy', 'Pungent', 'Woody']"
365,Huckleberry,"['Berry', 'Sweet', 'Blueberry']"
366,Purple Mr. Nice,"['Berry', 'Blueberry', 'Earthy']"
367,Snow White,"['Earthy', 'Spicy/Herbal', 'Pine']"
368,Hawaiian,"['Tropical', 'BlueCheese', 'Citrus']"
369,Marionberry Kush,"['Berry', 'Earthy', 'Sweet']"
370,Wonder Woman,"['Pungent', 'Spicy/Herbal', 'Earthy']"
371,Cookie Monster,"['Citrus', 'Orange', 'Earthy']"
372,Chocolope Kush,"['Earthy', 'Pungent', 'Woody']"
373,Tangilope,"['Citrus', 'Orange', 'Sweet']"
374,Grape Krush,"['Grape', 'Honey', 'Spicy/Herbal']"
375,Black Mamba,"['Grape', 'Earthy', 'Pungent']"
376,Apollo 13,"['Citrus', 'Earthy', 'Woody']"
377,Confidential Cheese,"['Cheese', 'Flowery', 'Pungent']"
378,Cadillac Purple,"['Grape', 'Woody', 'Berry']"
379,Ice Cream,"['Vanilla', 'Sweet', 'Earthy']"
380,Ingrid,"['Earthy', 'Lavender', 'Pungent']"
381,Blue Crack,"['Blueberry', 'Sweet', 'Berry']"
382,Kimbo Kush,"['Earthy', 'Citrus', 'Pungent']"
383,Pandora’s Box,"['Citrus', 'Woody', 'Diesel']"
384,Exodus Cheese,"['Cheese', 'Blueberry', 'Pungent']"
385,Dutch Hawaiian,"['Flowery', 'Citrus', 'Sweet']"
386,Purple Dragon,"['Sweet', 'Grape', 'Flowery']"
387,King Kong,"['Flowery', 'Earthy', 'Skunk']"
388,Venom OG,"['Pine', 'Diesel', 'Earthy']"
389,Fortune Cookies,"['Earthy', 'Sweet', 'Honey']"
390,Snoop Dogg OG,"['Chemical', 'Lemon', 'Pungent']"
391,A-10,"['Skunk', 'Citrus', 'Pungent']"
392,Blue God,"['Berry', 'Blueberry', 'Earthy']"
393,Middlefork,"['Lemon', 'Sweet', 'Berry']"
394,Conspiracy Kush,"['Pine', 'Citrus', 'Woody']"
395,Grapefruit Diesel,"['Grapefruit', 'Diesel', 'Earthy']"
396,Willie Nelson,"['Earthy', 'Sweet', 'Pungent']"
397,Maui,"['Tropical', 'Sweet', 'Citrus']"
398,Alien Kush,"['Woody', 'Skunk', 'Earthy']"
399,Mother of Berries,"['Berry', 'Blueberry', 'Sweet']"
400,Buddha’s Sister,"['Earthy', 'Sweet', 'Citrus']"
401,Medicine Man,"['Earthy', 'Flowery', 'Citrus']"
402,Hempstar,"['Earthy', 'Pepper', 'Woody']"
403,Wedding Cake,"['Sweet', 'Earthy', 'Vanilla']"
404,Strawberry Cheesecake,"['Strawberry', 'Sweet', 'Cheese']"
405,Lemon Thai,"['Lemon', 'Citrus', 'Tea']"
406,Green Candy,"['Spicy/Herbal', 'Sweet', 'Earthy']"
407,OG Chem,"['Chemical', 'Diesel', 'Pine']"
408,Somango,"['Mango', 'Sweet', 'Tropical']"
409,UW,"['Berry', 'Grape', 'Pepper']"
410,Kong,"['Earthy', 'Woody', 'Skunk']"
411,Purple Alien OG,"['Earthy', 'Flowery', 'Sweet']"
412,OG Shark,"['Earthy', 'Woody', 'Pungent']"
413,3X Crazy,"['Earthy', 'Woody', 'Pepper']"
414,Blue Rhino,"['Earthy', 'Blueberry', 'Berry']"
415,Purple Gorilla,"['Berry', 'Sweet', 'Pungent']"
416,Euforia,"['Pine', 'Woody', 'Sweet']"
417,Thai,"['Earthy', 'Woody', 'Tobacco']"
418,Papa’s OG,"['Pungent', 'Earthy', 'Sweet']"
419,MediHaze,"['Earthy', 'Pine', 'Spicy/Herbal']"
420,New Glue,"['Earthy', 'Diesel', 'Pungent']"
421,Cherry OG,"['Sweet', 'Berry', 'Earthy']"
422,Afwreck,"['Earthy', 'Pungent', 'Diesel']"
423,Killer Queen,"['Sweet', 'Butter', 'Pungent']"
424,Purple Punch,"['Grape', 'Berry', 'Sweet']"
425,Rare Darkness,"['Earthy', 'Sweet', 'Citrus']"
426,Lucky Charms,"['Citrus', 'Berry', 'Flowery']"
427,Mazar I Sharif,"['Earthy', 'Spicy/Herbal', 'Pepper']"
428,Lavender Jones,"['Lavender', 'Earthy', 'Flowery']"
429,Mothers Helper,"['Earthy', 'Sweet', 'Citrus']"
430,The Hog,"['Earthy', 'Pungent', 'BlueCheese']"
431,Colombian Gold,"['Citrus', 'Sweet', 'Earthy']"
432,Afghani Bullrider,"['Pine', 'Spicy/Herbal', 'Lemon']"
