,Strain Name,Feelings,Type,Cannabinoids,Rating,Rating Users,Left Parent,Right Parent,Left Child,Right Child
2071,GSC,"{'Feelings': ['Happy ', 'Relaxed ', 'Euphoric ', 'Uplifted ', 'Creative '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Paranoid ', 'Anxious '], 'Helps with': ['Stress ', 'Depression ', 'Pain ', 'Anxiety ', 'Insomnia ']}",Hybrid,"{'THC': '19%', 'CBD': None, 'CBG': '1%'}",4.4,7228,OG Kush,F1 Durb,Wedding Cake,Sherbert
2072,Jungle Scout Cookies,"{'Feelings': ['Uplifted ', 'Focused ', 'Energetic ', 'Relaxed ', 'Hungry '], 'Negatives': ['Dry eyes ', 'Dry mouth ', None, None, None], 'Helps with': ['Depression ', 'Stress ', 'Headaches ', 'Inflammation ', 'Insomnia ']}",Hybrid,"{'THC': '23%', 'CBD': None, 'CBG': '1%'}",4.5,6,GSC,N/A,,
2073,Mendo Purple,"{'Feelings': ['Relaxed ', 'Giggly ', 'Creative ', None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': '14%', 'CBD': '—', 'CBG': None}",4.0,2,,,,
2074,Double Diesel,"{'Feelings': ['Happy ', 'Focused ', 'Uplifted ', 'Creative ', 'Relaxed '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Paranoid ', 'Headache ', None], 'Helps with': ['Stress ', 'Anxiety ', 'Depression ', 'Pain ', 'Nausea ']}",Sativa,"{'THC': '19%', 'CBD': None, 'CBG': '1%'}",4.0,40,Sour Diesel,NYC Diesel,,
2075,P-91,"{'Feelings': ['Relaxed ', 'Euphoric ', 'Happy ', 'Creative ', 'Uplifted '], 'Negatives': ['Dry mouth ', 'Anxious ', 'Dry eyes ', None, None], 'Helps with': ['Depression ', 'Stress ', 'Anxiety ', 'Pain ', 'Lack of appetite ']}",Hybrid,"{'THC': '18%', 'CBD': None, 'CBG': '1%'}",4.7,24,Northern Lights,N/A,,
2076,Cookies and Cream Cheese,"{'Feelings': ['Sleepy ', 'Relaxed ', 'Tingly ', 'Focused ', 'Euphoric '], 'Negatives': ['Dry mouth ', None, None, None, None], 'Helps with': ['Depression ', 'Nausea ', 'Pain ', 'Stress ', 'Anxiety ']}",Hybrid,"{'THC': '17%', 'CBD': '—', 'CBG': None}",4.5,4,GSC,Big Buddha Cheese,,
2077,White Domina,"{'Feelings': ['Uplifted ', 'Talkative ', 'Sleepy ', 'Relaxed ', 'Happy '], 'Negatives': [None, None, None, None, None], 'Helps with': ['Depression ', 'Pain ', 'Stress ', 'Crohn', None]}",Indica,"{'THC': '18%', 'CBD': '—', 'CBG': None}",4.3,4,Black Domina,N/A,,
2078,A-Train,"{'Feelings': ['Happy ', 'Euphoric ', 'Uplifted ', 'Relaxed ', 'Hungry '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Paranoid ', 'Dizzy ', 'Anxious '], 'Helps with': ['Stress ', 'Depression ', 'Anxiety ', 'Pain ', 'Insomnia ']}",Hybrid,"{'THC': '17%', 'CBD': None, 'CBG': '1%'}",4.0,84,Trainwreck,Mazar I Sharif,,
2079,Fire Haze,"{'Feelings': ['Happy ', 'Euphoric ', 'Uplifted ', 'Focused ', 'Energetic '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Paranoid ', 'Dizzy ', None], 'Helps with': ['Stress ', 'Depression ', 'Pain ', 'Anxiety ', 'Fatigue ']}",Sativa,"{'THC': '20%', 'CBD': None, 'CBG': '1%'}",4.0,43,,,,
2080,Orange Poison,"{'Feelings': ['Relaxed ', 'Uplifted ', 'Talkative ', 'Tingly ', 'Happy '], 'Negatives': ['Dry mouth ', None, None, None, None], 'Helps with': ['Depression ', 'Fatigue ', 'Stress ', None, None]}",Hybrid,"{'THC': '21%', 'CBD': '1%', 'CBG': None}",4.2,6,Durban Poison,N/A,,
2081,Sin Valley OG,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Hungry ', 'Uplifted '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Anxious ', 'Dizzy ', 'Paranoid '], 'Helps with': ['Stress ', 'Insomnia ', 'Lack of appetite ', 'Pain ', 'Anxiety ']}",Hybrid,"{'THC': '21%', 'CBD': None, 'CBG': '1%'}",4.5,51,SFV OG,Blue Power,,
2082,Cake 'n Chem,"{'Feelings': ['Tingly ', 'Relaxed ', 'Happy ', 'Giggly ', 'Creative '], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': None, 'CBD': None, 'CBG': None}",3.0,2,,,,
2083,Baby Yoda,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': None, 'CBD': None, 'CBG': None}",5.0,4,,,,
2084,Sour Cheese,"{'Feelings': ['Happy ', 'Euphoric ', 'Uplifted ', 'Creative ', 'Relaxed '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Paranoid ', 'Dizzy ', 'Headache '], 'Helps with': ['Stress ', 'Depression ', 'Pain ', 'Anxiety ', 'Nausea ']}",Hybrid,"{'THC': '21%', 'CBD': '—', 'CBG': None}",4.3,125,Sour Diesel,Cheese,,
2085,Purple Chemdawg,"{'Feelings': ['Relaxed ', 'Euphoric ', 'Happy ', 'Uplifted ', 'Sleepy '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Headache ', 'Anxious '], 'Helps with': ['Pain ', 'Stress ', 'Anxiety ', 'Depression ', 'Insomnia ']}",Indica,"{'THC': '17%', 'CBD': '—', 'CBG': None}",4.5,170,Granddaddy Purple,Chemdawg,,
2086,Mindscape,"{'Feelings': ['Uplifted ', 'Talkative ', 'Happy ', 'Euphoric ', 'Creative '], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '18%', 'CBD': None, 'CBG': '1%'}",5.0,1,,,,
2087,Neroli 91,"{'Feelings': ['Sleepy ', 'Relaxed ', 'Hungry ', 'Happy ', 'Giggly '], 'Negatives': [None, None, None, None, None], 'Helps with': ['Depression ', 'Pain ', 'Stress ', 'Anxiety ', 'Bipolar disorder ']}",Hybrid,"{'THC': '11%', 'CBD': '—', 'CBG': None}",5.0,1,,,,
2088,Purple Pie,"{'Feelings': ['Relaxed ', 'Hungry ', 'Euphoric ', 'Tingly ', 'Sleepy '], 'Negatives': ['Dry mouth ', None, None, None, None], 'Helps with': ['Pain ', 'Stress ', 'PTSD ', 'Depression ', 'Headaches ']}",Hybrid,"{'THC': '16%', 'CBD': '—', 'CBG': None}",4.7,7,GSC,Ninja Fruit,,
2089,Tangerade,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': None, 'CBD': None, 'CBG': None}",,,,,,
2090,Burgundy,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '19%', 'CBD': '—', 'CBG': None}",,,,,,
2091,Holland's Hope,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Sleepy ', 'Uplifted '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Paranoid ', 'Dizzy ', 'Headache '], 'Helps with': ['Stress ', 'Pain ', 'Anxiety ', 'Depression ', 'Insomnia ']}",Indica,"{'THC': '17%', 'CBD': '—', 'CBG': None}",4.1,63,,,,
2092,Beautiful Nightmare,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",2.0,2,Blue Dream,N/A,,
2093,White Cherry OG,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': None, 'CBD': None, 'CBG': None}",,,,,,
2094,Pinewarp,"{'Feelings': ['Focused ', 'Creative ', 'Uplifted ', 'Relaxed ', 'Happy '], 'Negatives': ['Dry mouth ', None, None, None, None], 'Helps with': ['Depression ', 'Fatigue ', 'Pain ', 'Stress ', None]}",Hybrid,"{'THC': '15%', 'CBD': None, 'CBG': '1%'}",5.0,4,,,,
2095,Sex on the Beach,"{'Feelings': ['Talkative ', 'Sleepy ', 'Happy ', 'Giggly ', 'Creative '], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': None, 'CBD': None, 'CBG': None}",4.0,1,,,,
2096,Gorilla OG,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': ['Stress ', 'Hypertension ', None, None, None]}",Indica,"{'THC': '21%', 'CBD': '—', 'CBG': None}",4.5,2,GG4,Mango Kush,,
2097,Strawberry Snow Cone,"{'Feelings': ['Happy ', 'Euphoric ', 'Uplifted ', 'Talkative ', 'Energetic '], 'Negatives': ['Anxious ', None, None, None, None], 'Helps with': ['Stress ', 'Depression ', 'Fatigue ', 'Headaches ', 'Pain ']}",Hybrid,"{'THC': '14%', 'CBD': '—', 'CBG': None}",4.8,9,,,,
2098,Super Ripper,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': None, 'CBD': None, 'CBG': None}",,,,,,
2099,Gushers,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Uplifted ', 'Creative '], 'Negatives': ['Dry mouth ', 'Dizzy ', 'Anxious ', 'Dry eyes ', None], 'Helps with': ['Stress ', 'Depression ', 'Pain ', 'Anxiety ', 'Insomnia ']}",Hybrid,"{'THC': '23%', 'CBD': None, 'CBG': '1%'}",4.6,97,Gelato #41,Triangle Kush,,
2100,Dad's Durban,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': None, 'CBD': None, 'CBG': None}",,,,,,
2101,Black Skunk,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '20%', 'CBD': None, 'CBG': '1%'}",,,,,,
2102,Pretty Wicked,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': '18%', 'CBD': '—', 'CBG': None}",5.0,1,,,,
2103,Rainbow Belt,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', None, None], 'Negatives': ['Dry mouth ', None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': '20%', 'CBD': None, 'CBG': '1%'}",4.5,2,,,,
2104,Tuna OG,"{'Feelings': ['Tingly ', 'Relaxed ', None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': ['Anxiety ', None, None, None, None]}",Hybrid,"{'THC': '22%', 'CBD': '—', 'CBG': None}",4.6,5,OG Kush,Black Tuna,,
2105,Vanilla Frosting,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Uplifted ', 'Creative '], 'Negatives': ['Dry eyes ', 'Dry mouth ', 'Anxious ', 'Headache ', None], 'Helps with': ['Anxiety ', 'Stress ', 'Depression ', 'Lack of appetite ', 'Pain ']}",Hybrid,"{'THC': '21%', 'CBD': None, 'CBG': '1%'}",4.4,38,,,,
2106,Pie Crust,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': '19%', 'CBD': None, 'CBG': '1%'}",4.0,1,,,,
2107,Weekend Warrior,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': None, 'CBD': None, 'CBG': None}",,,,,,
2108,Paris XXX,"{'Feelings': ['Creative ', 'Uplifted ', 'Energetic ', 'Talkative ', 'Relaxed '], 'Negatives': ['Anxious ', None, None, None, None], 'Helps with': ['Insomnia ', 'Stress ', 'Anxiety ', 'Cramps ', 'Depression ']}",Indica,"{'THC': None, 'CBD': None, 'CBG': None}",4.4,8,OG Kush,Chemdawg,,
2109,Critical Skunk,"{'Feelings': ['Relaxed ', 'Happy ', 'Creative ', 'Giggly ', 'Focused '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', None, None], 'Helps with': ['Pain ', 'Stress ', 'Anxiety ', 'Depression ', 'Insomnia ']}",Hybrid,"{'THC': '17%', 'CBD': '—', 'CBG': None}",4.5,17,Skunk 1,Afghani,,
2110,Mazar x Blueberry,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Sleepy ', 'Uplifted '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Paranoid ', 'Headache '], 'Helps with': ['Stress ', 'Pain ', 'Anxiety ', 'Insomnia ', 'Depression ']}",Hybrid,"{'THC': '17%', 'CBD': None, 'CBG': '2%'}",4.3,1010,Blueberry,Mazar I Sharif,Mazar x Blueberry OG,White Walker Kush
2111,In Da Couch,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': None, 'CBD': None, 'CBG': None}",,,,,,
2112,ManBearPig OG,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",,,,,,
2113,Pineapple Cake,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': '17%', 'CBD': '—', 'CBG': None}",,,,,,
2114,Oreo Blizzy,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",5.0,1,,,,
2115,Woody OG,"{'Feelings': ['Relaxed ', 'Sleepy ', 'Happy ', 'Euphoric ', 'Tingly '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Paranoid ', 'Dizzy ', 'Headache '], 'Helps with': ['Insomnia ', 'Stress ', 'Pain ', 'Anxiety ', 'Depression ']}",Indica,"{'THC': '20%', 'CBD': '—', 'CBG': None}",4.2,71,,,,
2116,Funkfetti,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",,,,,,
2117,Monkey Bread #1,"{'Feelings': ['Relaxed ', 'Hungry ', 'Euphoric ', 'Talkative ', 'Sleepy '], 'Negatives': [None, None, None, None, None], 'Helps with': ['Depression ', 'Lack of appetite ', 'Pain ', 'Stress ', 'Eye pressure ']}",Indica,"{'THC': '22%', 'CBD': None, 'CBG': '1%'}",4.3,3,GSC,Grease Monkey,,
2118,White Urkle,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Tingly ', 'Uplifted '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Anxious ', 'Paranoid ', 'Dizzy '], 'Helps with': ['Stress ', 'Pain ', 'Depression ', 'Anxiety ', 'Headaches ']}",Hybrid,"{'THC': '20%', 'CBD': None, 'CBG': '1%'}",4.7,81,Purple Urkle,The White,,
2119,Jack Smack,"{'Feelings': ['Happy ', 'Energetic ', 'Focused ', 'Uplifted ', 'Creative '], 'Negatives': ['Anxious ', None, None, None, None], 'Helps with': ['Stress ', 'Anxiety ', 'Depression ', 'Fatigue ', 'Lack of appetite ']}",Sativa,"{'THC': None, 'CBD': None, 'CBG': None}",5.0,9,Jack Herer,Herijuana,,
2120,Martian Muffins,"{'Feelings': ['Sleepy ', 'Relaxed ', 'Talkative ', 'Hungry ', 'Happy '], 'Negatives': ['Dry eyes ', None, None, None, None], 'Helps with': ['Depression ', 'Insomnia ', 'Headaches ', 'Lack of appetite ', 'Muscle spasms ']}",Indica,"{'THC': None, 'CBD': None, 'CBG': None}",4.3,3,GSC,Romulan,,
2121,Orange Cream,"{'Feelings': ['Relaxed ', 'Happy ', 'Tingly ', 'Euphoric ', 'Uplifted '], 'Negatives': ['Dry mouth ', 'Anxious ', 'Dizzy ', None, None], 'Helps with': ['Depression ', 'Stress ', 'Anxiety ', 'Pain ', 'Headaches ']}",Hybrid,"{'THC': '18%', 'CBD': None, 'CBG': '1%'}",4.4,24,Cookies and Cream,N/A,Orange Sherbert,Sonic Screwdriver
2122,Blue Tara,"{'Feelings': ['Uplifted ', 'Relaxed ', 'Happy ', 'Euphoric ', 'Creative '], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '15%', 'CBD': '—', 'CBG': None}",4.0,1,Snow Lotus,N/A,,
2123,Platinum Punch,"{'Feelings': ['Relaxed ', 'Happy ', 'Focused ', 'Sleepy ', 'Giggly '], 'Negatives': ['Dry eyes ', 'Dry mouth ', 'Dizzy ', None, None], 'Helps with': ['Insomnia ', 'Stress ', 'Depression ', 'Lack of appetite ', 'Anxiety ']}",Hybrid,"{'THC': '18%', 'CBD': None, 'CBG': '1%'}",4.7,13,,,,
2124,The Black,"{'Feelings': ['Relaxed ', 'Sleepy ', 'Euphoric ', 'Happy ', 'Hungry '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Anxious ', 'Paranoid ', 'Dizzy '], 'Helps with': ['Insomnia ', 'Pain ', 'Stress ', 'Inflammation ', 'Anxiety ']}",Indica,"{'THC': '17%', 'CBD': None, 'CBG': '1%'}",4.4,79,,,,
2125,Eran Almog,"{'Feelings': ['Relaxed ', 'Sleepy ', 'Happy ', 'Euphoric ', 'Uplifted '], 'Negatives': ['Dry mouth ', 'Paranoid ', 'Dizzy ', 'Dry eyes ', 'Anxious '], 'Helps with': ['Insomnia ', 'Stress ', 'Pain ', 'Anxiety ', 'Depression ']}",Indica,"{'THC': '21%', 'CBD': None, 'CBG': '1%'}",4.4,39,,,,
2126,Rainbow Reserve,"{'Feelings': ['Uplifted ', 'Relaxed ', 'Euphoric ', None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '22%', 'CBD': '—', 'CBG': None}",5.0,3,,,,
2127,Bonkers,"{'Feelings': ['Euphoric ', 'Relaxed ', 'Happy ', 'Uplifted ', 'Talkative '], 'Negatives': ['Dry mouth ', None, None, None, None], 'Helps with': ['Pain ', 'Stress ', 'Depression ', 'Eye pressure ', 'Headaches ']}",Hybrid,"{'THC': '23%', 'CBD': None, 'CBG': '1%'}",4.0,13,Cookies and Cream,Lemon Tree,,
2128,Blue Dynamite,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Sleepy ', 'Hungry '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Anxious ', 'Paranoid '], 'Helps with': ['Stress ', 'Pain ', 'Anxiety ', 'Insomnia ', 'Depression ']}",Indica,"{'THC': '6%', 'CBD': '11%', 'CBG': None}",4.3,53,Dynamite,Avalon,,
2129,Purple Kush Starship,"{'Feelings': ['Sleepy ', None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '19%', 'CBD': '—', 'CBG': None}",5.0,1,,,,
2130,Alcoholic Alligator,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '26%', 'CBD': None, 'CBG': '1%'}",,,,,,
2131,Rare Dankness #1,"{'Feelings': ['Relaxed ', 'Happy ', 'Giggly ', 'Sleepy ', 'Hungry '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Paranoid ', 'Anxious '], 'Helps with': ['Pain ', 'Anxiety ', 'Arthritis ', 'Depression ', 'Muscle spasms ']}",Indica,"{'THC': None, 'CBD': None, 'CBG': None}",4.9,28,Ghost OG,N/A,El Jefe,Doc’s OG
2132,Karma OG,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Uplifted ', 'Hungry '], 'Negatives': ['Dry mouth ', None, None, None, None], 'Helps with': ['Depression ', 'Insomnia ', 'Muscle spasms ', 'Pain ', 'Stress ']}",Hybrid,"{'THC': '20%', 'CBD': None, 'CBG': '1%'}",4.6,10,SFV OG,N/A,,
2133,Cello Sweet OG,"{'Feelings': ['Sleepy ', 'Relaxed ', 'Uplifted ', 'Happy ', 'Giggly '], 'Negatives': ['Dizzy ', None, None, None, None], 'Helps with': ['Fatigue ', 'Anxiety ', None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.0,4,Flo,N/A,,
2134,Cherry Diesel,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Uplifted ', 'Energetic '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Anxious ', 'Paranoid ', 'Dizzy '], 'Helps with': ['Anxiety ', 'Depression ', 'Stress ', 'Pain ', 'Fatigue ']}",Hybrid,"{'THC': '15%', 'CBD': None, 'CBG': '1%'}",4.5,207,Cherry Kush,N/A,,
2135,Hawai’i ‘78,"{'Feelings': ['Uplifted ', 'Relaxed ', 'Happy ', 'Euphoric ', 'Energetic '], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Sativa,"{'THC': '17%', 'CBD': None, 'CBG': '1%'}",4.8,6,,,,
2136,Ghost OG,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Uplifted ', 'Sleepy '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Paranoid ', 'Dizzy ', 'Anxious '], 'Helps with': ['Stress ', 'Pain ', 'Anxiety ', 'Depression ', 'Insomnia ']}",Hybrid,"{'THC': '18%', 'CBD': '—', 'CBG': None}",4.5,606,OG Kush,N/A,Ghost Train Haze,Banana Kush
2137,Zkittlemints,"{'Feelings': ['Sleepy ', 'Relaxed ', 'Hungry ', 'Happy ', 'Giggly '], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': '17%', 'CBD': '—', 'CBG': None}",4.7,3,,,,
2138,Rockstar Master Kush,"{'Feelings': ['Relaxed ', 'Euphoric ', 'Hungry ', 'Sleepy ', 'Happy '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Headache ', None], 'Helps with': ['Pain ', 'Stress ', 'Fatigue ', 'Inflammation ', 'Insomnia ']}",Indica,"{'THC': '20%', 'CBD': None, 'CBG': '1%'}",3.9,28,Master Kush,Afghani,,
2139,,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': None, 'CBD': None, 'CBG': None}",,,,,,
2140,Gobbstopper,"{'Feelings': ['Relaxed ', 'Sleepy ', 'Happy ', 'Euphoric ', 'Hungry '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', None, None], 'Helps with': ['Stress ', 'Insomnia ', 'Anxiety ', 'Pain ', 'PTSD ']}",Indica,"{'THC': '15%', 'CBD': '—', 'CBG': None}",4.7,40,Purple Urkle,Sin City Kush,Madhatter,Queen of Hearts
2141,Critical Sensi Star,"{'Feelings': ['Relaxed ', 'Happy ', 'Sleepy ', 'Euphoric ', 'Uplifted '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Headache ', 'Paranoid '], 'Helps with': ['Pain ', 'Stress ', 'Anxiety ', 'Insomnia ', 'Muscle spasms ']}",Indica,"{'THC': '18%', 'CBD': None, 'CBG': '1%'}",4.2,108,Critical Mass,Sensi Star,,
2142,Mammoth,"{'Feelings': ['Relaxed ', 'Happy ', 'Focused ', 'Uplifted ', 'Energetic '], 'Negatives': ['Dry mouth ', 'Dry eyes ', None, None, None], 'Helps with': ['Inflammation ', 'Pain ', 'Anxiety ', 'Stress ', 'Arthritis ']}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.6,27,LA Confidential,Snowcap,,
2143,Sizzurp,"{'Feelings': ['Relaxed ', 'Uplifted ', 'Euphoric ', 'Happy ', 'Focused '], 'Negatives': ['Dry eyes ', 'Dizzy ', 'Dry mouth ', None, None], 'Helps with': ['Depression ', 'Headaches ', 'Inflammation ', 'Insomnia ', 'Lack of appetite ']}",Hybrid,"{'THC': '21%', 'CBD': None, 'CBG': '1%'}",4.6,5,Cookies and Cream,N/A,,
2144,Dosi White,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': ['PTSD ', None, None, None, None]}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",5.0,3,Do-Si-Dos,The White,,
2145,Glazed Cherries,"{'Feelings': ['Uplifted ', 'Relaxed ', 'Happy ', 'Euphoric ', None], 'Negatives': ['Dry mouth ', None, None, None, None], 'Helps with': ['Nausea ', 'Depression ', 'Inflammation ', 'Pain ', 'Stress ']}",Hybrid,"{'THC': '11%', 'CBD': '—', 'CBG': None}",4.0,2,Cherry OG,Forum Cut Cookies,,
2146,Abula,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '16%', 'CBD': None, 'CBG': '1%'}",,,,,,
2147,Mendo Breath,"{'Feelings': ['Relaxed ', 'Happy ', 'Sleepy ', 'Euphoric ', 'Uplifted '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Anxious ', 'Paranoid '], 'Helps with': ['Stress ', 'Pain ', 'Anxiety ', 'Insomnia ', 'Depression ']}",Indica,"{'THC': '19%', 'CBD': None, 'CBG': '1%'}",4.6,440,OGKB,Mendo Montage,Peanut Butter Breath,Garlic Breath
2148,Old Toby,"{'Feelings': ['Happy ', 'Relaxed ', 'Euphoric ', 'Creative ', 'Uplifted '], 'Negatives': ['Dry eyes ', 'Dry mouth ', None, None, None], 'Helps with': ['Stress ', 'Cramps ', 'Fatigue ', 'Pain ', 'Anxiety ']}",Hybrid,"{'THC': '15%', 'CBD': None, 'CBG': '1%'}",4.4,11,,,,
2149,Space Cake,"{'Feelings': ['Uplifted ', 'Happy ', 'Relaxed ', 'Energetic ', 'Creative '], 'Negatives': ['Dry mouth ', None, None, None, None], 'Helps with': ['Depression ', 'Anxiety ', 'Stress ', 'Fatigue ', 'Nausea ']}",Hybrid,"{'THC': '18%', 'CBD': '—', 'CBG': None}",4.9,35,Snow Lotus,N/A,,
2150,Afgooey,"{'Feelings': ['Euphoric ', 'Relaxed ', 'Happy ', 'Sleepy ', 'Uplifted '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Paranoid ', 'Dizzy ', 'Headache '], 'Helps with': ['Stress ', 'Pain ', 'Insomnia ', 'Anxiety ', 'Depression ']}",Indica,"{'THC': '16%', 'CBD': None, 'CBG': '1%'}",4.1,371,Afghani,N/A,Snow Lotus,Mother Tongue
2151,Dream Weaver #3,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': '23%', 'CBD': '—', 'CBG': None}",,,,,,
2152,Wild Blueberry,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': '16%', 'CBD': None, 'CBG': '1%'}",,,,,,
2153,Apple Fritter,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Uplifted ', 'Sleepy '], 'Negatives': ['Dry mouth ', 'Dry eyes ', None, None, None], 'Helps with': ['Anxiety ', 'Stress ', 'Depression ', 'Insomnia ', 'Pain ']}",Hybrid,"{'THC': '25%', 'CBD': '—', 'CBG': None}",4.5,82,,,,
