,Strain Name,Feelings,Type,Cannabinoids,Rating,Rating Users,Left Parent,Right Parent,Left Child,Right Child
43,Space Face,"{'Feelings': ['Relaxed ', 'Happy ', 'Giggly ', 'Euphoric ', None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Indica,"{'THC': '13%', 'CBD': '—', 'CBG': None}",4.7,3,Face Off OG,Mazar x Blueberry,,
44,More Cowbell,"{'Feelings': ['Euphoric ', 'Uplifted ', 'Relaxed ', 'Creative ', 'Happy '], 'Negatives': ['Dry eyes ', 'Dry mouth ', None, None, None], 'Helps with': ['Inflammation ', 'Pain ', 'Stress ', 'Multiple sclerosis ', None]}",Hybrid,"{'THC': '17%', 'CBD': None, 'CBG': '2%'}",4.7,7,GSC,Hash Plant,,
45,Huckleberry Hound,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Tingly ', 'Sleepy '], 'Negatives': ['Dry eyes ', 'Dry mouth ', None, None, None], 'Helps with': ['Headaches ', 'Lack of appetite ', 'Pain ', 'Stress ', 'Anxiety ']}",Hybrid,"{'THC': None, 'CBD': None, 'CBG': None}",4.7,3,Chemdawg,Blueberry,,
46,Laughing Buddha,"{'Feelings': ['Happy ', 'Uplifted ', 'Energetic ', 'Giggly ', 'Euphoric '], 'Negatives': ['Dry mouth ', 'Dry eyes ', 'Dizzy ', 'Paranoid ', 'Anxious '], 'Helps with': ['Depression ', 'Stress ', 'Anxiety ', 'Fatigue ', 'Pain ']}",Sativa,"{'THC': '20%', 'CBD': None, 'CBG': '2%'}",4.5,245,Thai,Jamaican,,
47,Strange OG,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': '22%', 'CBD': None, 'CBG': '1%'}",,,,,,
48,Spec Ops,"{'Feelings': ['Relaxed ', 'Happy ', 'Sleepy ', 'Euphoric ', 'Uplifted '], 'Negatives': [None, None, None, None, None], 'Helps with': ['Pain ', 'Stress ', 'Anxiety ', 'Depression ', 'Inflammation ']}",Indica,"{'THC': '1%', 'CBD': '15%', 'CBG': None}",5.0,7,,,,
49,Armageddon,"{'Feelings': ['Relaxed ', 'Happy ', 'Euphoric ', 'Hungry ', 'Uplifted '], 'Negatives': ['Dry mouth ', 'Dizzy ', 'Dry eyes ', 'Paranoid ', 'Anxious '], 'Helps with': ['Pain ', 'Stress ', 'Anxiety ', 'Depression ', 'Headaches ']}",Hybrid,"{'THC': '14%', 'CBD': None, 'CBG': '1%'}",3.7,44,,,,
50,Wedding Gelato,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",Hybrid,"{'THC': '23%', 'CBD': '—', 'CBG': None}",5.0,1,Wedding Cake,Gelato #33,,
51,High Voltage,"{'Feelings': [None, None, None, None, None], 'Negatives': [None, None, None, None, None], 'Helps with': [None, None, None, None, None]}",,"{'THC': '4%', 'CBD': '7%', 'CBG': None}",1.0,1,,,,
52,Cosmic Collision,"{'Feelings': ['Uplifted ', 'Euphoric ', 'Talkative ', 'Relaxed ', 'Energetic '], 'Negatives': ['Dizzy ', 'Dry eyes ', 'Headache ', None, None], 'Helps with': ['Anxiety ', 'Depression ', 'Insomnia ', 'Pain ', 'Stress ']}",Sativa,"{'THC': None, 'CBD': None, 'CBG': None}",4.4,17,,,,
