Strain Name,Type,Rating,Rating Users,Left Parent,Right parent,Left Child,Right Child,Feeling_1,Feeling_2,Feeling_3,Feeling_4,Feeling_5,Negative_1,Negative_2,Negative_3,Negative_4,Negative_5,Helps with_1,Helps with_2,Helps with_3,Helps with_4,Helps with_5,THC,CBD,CBG
Space Cake,Hybrid,4.9,35,Snow Lotus,N/A,,,Uplifted,Happy,Relaxed,Energetic,Creative,Dry,,,,,Depression,Anxiety,Stress,Fatigue,Nausea,18%,—,
Afgooey,Indica,4.1,371,Afghani,N/A,Snow Lotus,Mother Tongue,Euphoric,Relaxed,Happy,Sleepy,Uplifted,Dry,Dry,Paranoid,Dizzy,Headache,Stress,Pain,Insomnia,Anxiety,Depression,16%,,1%
Dream Weaver #3,,,,,,,,,,,,,,,,,,,,,,,23%,—,
Wild Blueberry,,,,,,,,,,,,,,,,,,,,,,,16%,,1%
Apple Fritter,Hybrid,4.5,81,,,,,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Dry,Dry,,,,Anxiety,Stress,Depression,Insomnia,Pain,25%,—,
Lucy,Hybrid,4.4,38,LA Confidential,N/A,,,Relaxed,Uplifted,Happy,Sleepy,Focused,Dry,Dry,,,,Pain,Stress,Anxiety,Inflammation,Muscle,5%,9%,
Alien Dawg,Indica,4.3,241,Alien Technology,N/A,Alien Cookies,Alien Kush,Relaxed,Euphoric,Happy,Sleepy,Uplifted,Dry,Dry,Dizzy,Paranoid,Anxious,Stress,Anxiety,Pain,Insomnia,Depression,17%,—,
Sweet Pink Grapefruit,Hybrid,4.7,3,,,,,Uplifted,Tingly,Talkative,Relaxed,Happy,Depression,Fatigue,Nausea,Stress,Anxiety,,,,,,18%,—,
White Sangria,Hybrid,4.5,26,Tahoe Hydro OG,N/A,,,Relaxed,Uplifted,Happy,Euphoric,Focused,Dry,Paranoid,Anxious,Dizzy,Dry,Anxiety,Stress,Depression,Fatigue,ADD,,,
Cookie Fam Sherbert,,,,,,,,,,,,,,,,,,,,,,,17%,,1%
Newberry,Hybrid,5.0,2,Blueberry,N/A,,,Sleepy,Relaxed,Euphoric,,,Dry,,,,,Depression,Insomnia,,,,14%,,1%
Endless Sky,Indica,4.6,25,,,,,Relaxed,Happy,Euphoric,Sleepy,Talkative,Dry,,,,,Stress,Anxiety,Lack,Depression,Insomnia,,,
True X,Indica,3.0,4,True OG,C4,,,Uplifted,Focused,Sleepy,Relaxed,Euphoric,Anxious,Paranoid,,,,Stress,Anxiety,Depression,Fatigue,Insomnia,17%,,1%
Skunk Dawg,Sativa,4.4,34,Chemdawg,Super Skunk,,,Happy,Relaxed,Uplifted,Focused,Euphoric,Dry,Dry,Anxious,Paranoid,Dizzy,Anxiety,Stress,Depression,ADD,PTSD,21%,,1%
Tally Mon,Hybrid,4.6,8,Papaya,N/A,,,Uplifted,Relaxed,Euphoric,Talkative,Hungry,Depression,Anxiety,Lack,Pain,Stress,,,,,,21%,—,
The Wills,Hybrid,5.0,3,Willy's Wonder,N/A,,,Headaches,,,,,,,,,,,,,,,,,
Satsuma,Hybrid,4.7,3,Snow Lotus,N/A,,,Uplifted,Relaxed,Happy,Euphoric,,,,,,,,,,,,,,
Cirrus,Sativa,5.0,9,Granddaddy Purple,Platinum Cookies,,,Uplifted,Talkative,Happy,Euphoric,Giggly,Anxious,Dry,Dry,Headache,Paranoid,Depression,Headaches,Stress,Fatigue,Inflammation,,,
Chem Sour Face,,5.0,1,,,,,Uplifted,Talkative,Happy,Focused,Energetic,Depression,Stress,,,,,,,,,22%,,1%
Zelly’s Gift,Sativa,4.7,30,Jack Herer,Super Lemon Haze,,,Happy,Uplifted,Euphoric,Energetic,Relaxed,Dry,Dry,Dizzy,,,Depression,Stress,Headaches,Anxiety,Fatigue,15%,,1%
Glad Max,Hybrid,4.3,33,Caramelicious,N/A,,,Relaxed,Euphoric,Uplifted,Happy,Creative,Dry,Dry,Dizzy,Paranoid,,Stress,Pain,Depression,Anxiety,Fatigue,,,
Caramella,Indica,4.6,8,,,,,Euphoric,Sleepy,Relaxed,Aroused,Hungry,Dry,Dizzy,,,,Insomnia,Pain,Depression,Eye,Spasticity,12%,,1%
Motor Cake,Hybrid,5.0,1,,,,,,,,,,,,,,,,,,,,,,
Pineapple Diesel,Hybrid,4.2,107,,,,,Uplifted,Happy,Euphoric,Energetic,Talkative,Dry,Dry,Dizzy,Anxious,Headache,Stress,Anxiety,Depression,Pain,Fatigue,17%,,1%
Urkle Train Haze,Hybrid,4.8,52,Ghost Train Haze,Purple Urkle,,,Happy,Relaxed,Euphoric,Uplifted,Creative,Dry,Dry,Anxious,Dizzy,,Pain,Nausea,Stress,Depression,Anxiety,,,
Star Ox,,,,,,,,,,,,,,,,,,,,,,,18%,—,
Atomical Haze,Sativa,4.4,25,Haze,South Indian Indica,,,Happy,Relaxed,Talkative,Euphoric,Energetic,Dry,Dry,Dizzy,,,Depression,Pain,Stress,Anxiety,Eye,,,
Ill OG,Indica,4.6,10,True OG,N/A,,,Relaxed,Happy,Sleepy,Giggly,Euphoric,Dry,Dry,,,,Depression,Eye,Inflammation,Insomnia,Lack,,,
Skins Skunk,Hybrid,5.0,2,Afgoo,N/A,,,Relaxed,Hungry,Happy,Giggly,Euphoric,Cramps,Muscle,Pain,Stress,Anxiety,,,,,,,,
Absinthe,Hybrid,3.5,2,GG4,N/A,,,Uplifted,Talkative,Hungry,Happy,Giggly,Anxious,Headache,,,,Depression,Lack,Nausea,Stress,Anxiety,17%,—,
Banana Mango,Hybrid,4.5,2,Blueberry Muffin,Banana OG,,,Tingly,Relaxed,Happy,Euphoric,,,,,,,,,,,,18%,,1%
Tahoe OG,Hybrid,4.4,1370,OG Kush,SFV OG Kush,Alien OG,White Tahoe Cookies,Relaxed,Sleepy,Happy,Euphoric,Hungry,Dry,Dry,Dizzy,Paranoid,Headache,Stress,Pain,Insomnia,Anxiety,Depression,18%,,1%
Purple Widow,Hybrid,4.5,40,White Widow,N/A,,,Relaxed,Happy,Euphoric,Giggly,Uplifted,Dry,Dry,Anxious,Dizzy,Paranoid,Pain,Depression,Stress,Anxiety,Fatigue,17%,,1%
Cosmos,,5.0,1,,,,,,,,,,,,,,,,,,,,4%,8%,
SnowLAnd,Hybrid,4.7,55,LA Confidential,Snowcap,,,Relaxed,Happy,Euphoric,Uplifted,Focused,Dry,Dry,Anxious,Dizzy,Headache,Stress,Anxiety,Pain,Depression,PTSD,19%,,1%
Chernobyl,Hybrid,4.3,806,Trainwreck,Jack the Ripper,Duke Nukem,Sweet Berry,Happy,Uplifted,Euphoric,Relaxed,Energetic,Dry,Dry,Dizzy,Paranoid,Anxious,Stress,Depression,Pain,Anxiety,Fatigue,18%,,1%
Captain's Cake,Hybrid,4.7,96,GSC,White Fire Alien OG,,,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Dry,Dry,Headache,,,Stress,Depression,Pain,Anxiety,PTSD,,,
Banana Rainbow,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
The Fuzz,Hybrid,4.7,3,Chem 91,Appalachia,,,Uplifted,Talkative,Energetic,,,,,,,,,,,,,,,
Romulawi Glue,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Purple Swish,Indica,5.0,6,Purple Urkle,Rare Dankness #1,,,Happy,Sleepy,Relaxed,Giggly,Euphoric,Dry,,,,,Cramps,Depression,Inflammation,Insomnia,Pain,,,
Chocolate Kush,Indica,4.5,81,Mazar I Sharif,N/A,Truffle Butter,Chocolate Hashberry,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Dry,Dry,Dizzy,Anxious,Headache,Stress,Anxiety,Pain,Insomnia,Depression,19%,—,
Barryaire,Hybrid,4.3,8,,,,,Tingly,Relaxed,Focused,Creative,Uplifted,Dry,Dry,,,,Stress,Anxiety,Depression,Lack,Pain,,,
Sergerbloom Haze,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Critical Kali Mist,Sativa,4.3,21,Critical Mass,Kali Mist,,,Uplifted,Euphoric,Happy,Tingly,Relaxed,Dry,Dizzy,Paranoid,,,Depression,Stress,ADD,Anxiety,Eye,18%,—,
Don Carlos,Hybrid,4.9,8,Blackberry Kush,Humboldt Sour Diesel,,,Relaxed,Happy,Euphoric,Uplifted,Creative,Dry,Dry,,,,Depression,Fatigue,Stress,Anxiety,Headaches,26%,,1%
Las Vegas Purple Kush BX,Indica,4.8,8,Sin City Kush,N/A,,,Happy,Sleepy,Relaxed,Euphoric,Uplifted,Stress,Insomnia,Lack,Pain,Anxiety,,,,,,20%,,1%
Critical Orange Punch,,5.0,1,,,,,Uplifted,Relaxed,Hungry,Happy,Euphoric,Muscle,,,,,,,,,,21%,,1%
Swiss Bliss,Hybrid,3.8,13,,,,,Euphoric,Happy,Giggly,Tingly,Talkative,Dizzy,Dry,Dry,Paranoid,Anxious,Stress,Anxiety,Depression,Pain,Insomnia,13%,—,
Kitchen Sink,Hybrid,4.9,7,GMO Cookies,Sundae Driver,,,Relaxed,Happy,Focused,Euphoric,Energetic,Dizzy,,,,,Depression,Headaches,Insomnia,Nausea,Pain,,,
Rolls Choice,Hybrid,4.7,58,OG Kush,Chemdawg,,,Happy,Relaxed,Euphoric,Uplifted,Energetic,Dry,Dry,Dizzy,Anxious,Paranoid,Pain,Stress,Depression,Anxiety,Inflammation,,,
Satori,Hybrid,4.1,69,Lucid Dream,N/A,Holy Ghost,Strawberry Satori,Uplifted,Euphoric,Happy,Creative,Energetic,Dry,Dry,Paranoid,Dizzy,Anxious,Stress,Anxiety,Depression,Insomnia,Pain,15%,—,
Gold Leaf,Hybrid,4.7,3,,,,,Tingly,Sleepy,Relaxed,,,Pain,Stress,Anxiety,,,,,,,,17%,,1%
BTY OG,Indica,3.7,3,,,,,,,,,,,,,,,,,,,,21%,—,
Sweet Amnesia Haze,Sativa,5.0,4,Amnesia Haze,N/A,,,Happy,Euphoric,Uplifted,Relaxed,Focused,Dry,Dry,,,,Depression,Stress,ADD,Fatigue,Lack,,,
Golden State Banana,Indica,4.6,25,Banana Kush,Ghost OG,,,Relaxed,Happy,Euphoric,Uplifted,Hungry,Dry,Dry,Dizzy,Headache,,Insomnia,Stress,Lack,Nausea,Pain,,,
Confetti Cake,Hybrid,5.0,1,,,,,,,,,,,,,,,,,,,,21%,,1%
Master Kush,Indica,4.3,1761,Hindu Kush,N/A,Platinum OG,Lemon Kush,Relaxed,Happy,Euphoric,Sleepy,Uplifted,Dry,Dry,Dizzy,Paranoid,Headache,Stress,Pain,Anxiety,Insomnia,Depression,18%,,1%
Lilac Diesel,Hybrid,4.6,69,,,,,Happy,Uplifted,Relaxed,Euphoric,Focused,Dizzy,Dry,Anxious,Headache,Paranoid,Depression,Anxiety,Stress,Pain,Fatigue,22%,,3%
Rip City Purps,Indica,4.6,9,Purple Urkle,Sin City Kush,,,Relaxed,Euphoric,Uplifted,Tingly,Sleepy,Dry,,,,,Cramps,Depression,Pain,Anxiety,PMS,18%,—,
Lemon Slush,Hybrid,4.5,4,,,,,Relaxed,,,,,Insomnia,Anxiety,,,,,,,,,18%,—,
True Glue,,,,,,,,,,,,,,,,,,,,,,,19%,—,
Mint Milano,Hybrid,,,,,,,,,,,,,,,,,,,,,,20%,,2%
Purple Sunset,Indica,4.6,46,,,,,Relaxed,Happy,Euphoric,Uplifted,Sleepy,Dry,Dizzy,,,,Anxiety,PTSD,Depression,Pain,Stress,17%,,1%
Doox,Sativa,4.4,5,Chemdawg,Purple Cow,,,Uplifted,Energetic,Happy,Focused,,Dry,,,,,Fatigue,Inflammation,Muscle,Pain,,,,
Purple Urkle,Indica,4.3,1234,Mendocino Purps,N/A,Granddaddy Purple,Lavender Jones,Relaxed,Sleepy,Happy,Euphoric,Hungry,Dry,Dry,Dizzy,Paranoid,Headache,Stress,Insomnia,Pain,Anxiety,Depression,16%,—,
Gorilla Snacks,Hybrid,4.6,21,GG4,Scooby Snacks,,,Relaxed,Hungry,Happy,Giggly,Euphoric,Dry,Dry,Dizzy,Paranoid,,Lack,Nausea,Pain,Stress,Muscle,19%,,1%
Sour Bubba,Indica,4.7,30,Sour Diesel,Bubba Kush,,,Happy,Euphoric,Uplifted,Relaxed,Sleepy,Dry,Dry,,,,Depression,Stress,Anxiety,Insomnia,Pain,20%,,1%
Blueberry Pancakes,Hybrid,4.5,52,DJ Short Blueberry,N/A,,,Relaxed,Happy,Euphoric,Uplifted,Focused,Dry,Dry,,,,Stress,Pain,Anxiety,Depression,PTSD,20%,—,
Power Wreck,,,,,,,,,,,,,,,,,,,,,,,21%,,1%
Ghosts of Mujahdeen,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Samoas,Hybrid,4.8,6,,,,,Happy,Tingly,Giggly,Uplifted,Talkative,,,,,,,,,,,21%,,1%
Remo Chemo,Hybrid,5.0,5,,,,,Relaxed,Happy,Euphoric,Hungry,Uplifted,Dry,Dry,,,,Depression,Inflammation,Insomnia,Pain,Spasticity,,,
Blue Widow,Hybrid,4.1,396,White Widow,Blueberry,,,Happy,Relaxed,Euphoric,Uplifted,Sleepy,Dry,Dry,Dizzy,Paranoid,Anxious,Pain,Stress,Anxiety,Depression,Insomnia,15%,,1%
Blue Dream CBD,Hybrid,4.7,19,Blue Dream,N/A,,,Uplifted,Happy,Relaxed,Focused,Euphoric,Dry,Headache,,,,Stress,Pain,Depression,Anxiety,Cramps,17%,—,
Pie Tree,Hybrid,,,Lemon Tree,Pie 95,,,,,,,,,,,,,,,,,,,,
Sour Cherries,,5.0,1,,,,,,,,,,,,,,,,,,,,17%,,1%
Waldo,Hybrid,3.1,7,,,,,Tingly,Hungry,Euphoric,Creative,Uplifted,Dizzy,Headache,Paranoid,,,Anxiety,Nausea,Pain,PMS,Depression,,,
Kronocaine,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Puff,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Divorce Cake,Hybrid,4.6,13,Wedding Cake,White Widow,,,Uplifted,Relaxed,Sleepy,Happy,Giggly,Eye,Stress,Glaucoma,,,,,,,,19%,,1%
Phantom Arrow,Indica,5.0,3,Pink Champagne,Purple Arrow,,,Relaxed,Happy,Focused,Uplifted,Tingly,Dry,Headache,,,,Headaches,Inflammation,Pain,Stress,Fatigue,,,
Ebola #7,Hybrid,4.6,14,GSC,SFV OG,,,Talkative,Creative,Uplifted,Relaxed,Energetic,Anxious,Dry,Dry,Paranoid,,Stress,Depression,Pain,Anxiety,Insomnia,30%,,1%
Blueberry Clementine,Hybrid,4.3,3,,,,,Uplifted,Sleepy,Hungry,,,Dizzy,Dry,Dry,,,Pain,Stress,PTSD,,,19%,,1%
Banana Dawg,,,,,,,,,,,,,,,,,,,,,,,20%,—,
4 Prophets,,4.3,3,,,,,Uplifted,Tingly,Relaxed,Happy,Euphoric,Dry,,,,,Pain,Stress,Anxiety,Arthritis,PTSD,,,
Berry Bomb,Hybrid,4.2,64,Blueberry,N/A,,,Relaxed,Happy,Euphoric,Uplifted,Hungry,Dry,Anxious,Dry,Paranoid,Dizzy,Stress,Insomnia,Pain,Depression,Anxiety,16%,,1%
Miss X,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
X18 Pure Pakistani,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Pine Cone,Hybrid,4.7,7,Cinex,N/A,,,Creative,Uplifted,Tingly,Relaxed,Focused,Dry,Dry,Paranoid,,,Depression,Pain,Fatigue,Inflammation,Stress,18%,,2%
Space Monkey,Hybrid,4.7,9,,,,,Relaxed,Happy,Uplifted,Euphoric,Focused,Pain,Depression,Lack,Nausea,Stress,,,,,,22%,,1%
Chocolate Oranges,Hybrid,4.0,6,,,,,,,,,,,,,,,,,,,,22%,,1%
QuickSilver,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Banana Puddintain,Hybrid,4.5,27,,,,,Relaxed,Happy,Uplifted,Euphoric,Tingly,Dry,Dry,,,,Stress,Pain,Anxiety,Depression,Headaches,27%,,1%
Cougar Piss,Hybrid,,,,,,,,,,,,,,,,,,,,,,18%,,1%
Hindu Cream,Indica,,,,,,,,,,,,,,,,,,,,,,19%,,1%
Mint Lemonade,Hybrid,5.0,2,,,,,,,,,,,,,,,,,,,,13%,—,
Critical Orange,,,,,,,,,,,,,,,,,,,,,,,,,
420 Carat,Hybrid,,,,,,,,,,,,,,,,,,,,,,20%,,1%
Snow Queen,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Rockstar,Indica,4.2,350,Sensi Star,Rockbud,Rockstar Kush,Rocklock,Relaxed,Happy,Sleepy,Euphoric,Uplifted,Dry,Dry,Dizzy,Anxious,Paranoid,Stress,Anxiety,Pain,Depression,Insomnia,17%,,1%
Tina Danza,Hybrid,4.7,38,Triangle Kush,N/A,,,Relaxed,Happy,Euphoric,Uplifted,Focused,Dry,Dizzy,Dry,Headache,,Pain,Stress,Depression,Anxiety,Nausea,18%,,1%
Future,Hybrid,4.8,67,GG4,Starfighter,,,Relaxed,Euphoric,Happy,Uplifted,Creative,Dry,Dizzy,Dry,Anxious,Paranoid,Depression,Stress,Pain,Anxiety,Muscle,23%,,1%
Crockett’s Sour Tangie,Hybrid,5.0,1,Sour Diesel,Tangie,,,,,,,,,,,,,,,,,,,,
Green Ninja,Hybrid,4.0,1,Northern Lights,Afghan Kush,,,,,,,,,,,,,,,,,,,,
Hawaiian Snow,Sativa,4.4,216,Haze,Hawaiian Haze,,,Happy,Uplifted,Energetic,Euphoric,Creative,Dry,Dry,Dizzy,Paranoid,Headache,Stress,Depression,Anxiety,Pain,Fatigue,19%,—,
AK-47,Hybrid,4.0,2869,South American,N/A,White Russian,Chronic,Happy,Euphoric,Uplifted,Relaxed,Creative,Dry,Dry,Dizzy,Paranoid,Headache,Stress,Anxiety,Pain,Depression,Insomnia,16%,,1%
Stoopid Fruits,Hybrid,4.7,10,,,,,Relaxed,Euphoric,Happy,Creative,Focused,Dry,Dry,,,,,,,,,,,
Gasoline Dreams,,,,,,,,,,,,,,,,,,,,,,,,,
Powernap,Hybrid,4.8,5,,,,,Happy,Sleepy,Relaxed,Uplifted,Giggly,Headaches,Stress,Anxiety,,,,,,,,17%,,1%
Chem 4,Hybrid,4.3,356,Thai,Nepalese,Stardawg,Biochem,Relaxed,Euphoric,Happy,Uplifted,Creative,Dry,Dry,Dizzy,Paranoid,Anxious,Stress,Pain,Anxiety,Depression,Insomnia,20%,,1%
Seattle Cough,Sativa,4.8,53,Haze,Northern Lights #5,,,Creative,Uplifted,Happy,Energetic,Focused,Dry,Dry,Paranoid,Dizzy,Headache,Depression,Anxiety,Fatigue,Inflammation,Stress,18%,,1%
Jesus,Hybrid,4.6,58,White Widow,Blue Dynamite,,,Happy,Relaxed,Uplifted,Euphoric,Creative,Dry,Anxious,Dizzy,Dry,,Pain,Stress,Anxiety,Depression,Insomnia,19%,,1%
Grey Area,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Blue Frost,Hybrid,4.4,138,Jack Frost,Blue Monster,,,Relaxed,Happy,Euphoric,Uplifted,Tingly,Dry,Dry,Dizzy,Paranoid,Anxious,Depression,Stress,Pain,Anxiety,Fatigue,17%,,1%
White Buffalo,Sativa,4.5,239,Blackberry Kush,Romulan,,,Euphoric,Uplifted,Happy,Energetic,Relaxed,Dry,Dry,Anxious,Dizzy,Headache,Stress,Anxiety,Depression,Fatigue,Pain,18%,—,
Slurbert,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Bandana,Hybrid,4.3,9,Banana OG,707,,,Euphoric,Happy,Relaxed,Talkative,Creative,Dry,Dry,,,,Depression,ADD,Fatigue,Pain,Stress,9%,—,
Chem Cake,,4.0,1,,,,,Tingly,Relaxed,Euphoric,,,Depression,Stress,Anxiety,PTSD,,,,,,,17%,,1%
Fruit Spirit,Hybrid,4.3,42,White Widow,Blueberry,,,Happy,Euphoric,Relaxed,Focused,Uplifted,Dry,Dry,Headache,Paranoid,Anxious,Stress,Pain,Lack,Depression,Anxiety,,,
Golden Grapes,Hybrid,4.0,1,,,,,,,,,,,,,,,,,,,,24%,,1%
Black Girl Magic OG,Hybrid,5.0,2,,,,,,,,,,,,,,,,,,,,,,
Lemon Jeffery,Hybrid,4.8,17,Lemon Skunk,Golden Goat,,,Energetic,Euphoric,Happy,Focused,Uplifted,Stress,Depression,Fatigue,Headaches,Pain,,,,,,,,
Gelonade,Hybrid,4.6,17,Gelato #41,Lemon Tree,,,Relaxed,Uplifted,Happy,Energetic,Focused,Dry,Dry,,,,,,,,,,,
Grape LA,Hybrid,,,LA Confidential,Grapefruit,,,,,,,,,,,,,,,,,,15%,—,
P-51,Indica,4.2,28,Tahoe OG,Blackberry,,,Happy,Sleepy,Uplifted,Hungry,Focused,Dry,Dry,Dizzy,Paranoid,Anxious,Pain,Stress,Anxiety,Insomnia,Nausea,20%,,1%
Londonchello,Hybrid,3.5,2,,,,,,,,,,,,,,,,,,,,,,
Strawberry Suckle,,,,,,,,,,,,,,,,,,,,,,,23%,,2%
Big Buddha Cheese,Hybrid,4.1,276,Afghani,UK Cheese,Chiesel,Cookies and Cream Cheese,Happy,Euphoric,Uplifted,Relaxed,Creative,Dry,Dry,Dizzy,Paranoid,Headache,Stress,Anxiety,Pain,Depression,Insomnia,19%,,1%
Blue Diamond,Indica,4.3,136,,,,,Relaxed,Happy,Euphoric,Sleepy,Uplifted,Dry,Dry,Paranoid,Headache,Dizzy,Stress,Pain,Depression,Insomnia,Anxiety,20%,—,
Strawberry Limeade,,,,,,,,,,,,,,,,,,,,,,,30%,—,
Tangilope,Sativa,4.6,150,Tangie,Chocolope,,,Happy,Uplifted,Energetic,Creative,Euphoric,Dry,Dry,Paranoid,Anxious,Dizzy,Depression,Stress,Fatigue,Anxiety,Pain,14%,,1%
Dark Shadow Haze,Hybrid,5.0,5,Grape Ape,Nevil's Wreck,,,Euphoric,Relaxed,Uplifted,Happy,Focused,Dizzy,Dry,Dry,Headache,Paranoid,Anxiety,PTSD,Depression,Fatigue,Lack,16%,,1%
Caboose,Hybrid,5.0,1,,,,,Relaxed,Energetic,,,,Dry,,,,,,,,,,,,
Snow Mountain,Indica,4.5,4,Snowcap,Pure Kush,,,Relaxed,Uplifted,Sleepy,Talkative,Hungry,Dry,Dry,,,,Inflammation,Insomnia,Muscle,Pain,Stress,16%,,1%
Triple Tangie Banana,,,,,,,,,,,,,,,,,,,,,,,,,
Bubble Berry,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Double Dutch,Hybrid,4.2,21,Chronic,Warlock,,,Uplifted,Relaxed,Hungry,Happy,Talkative,Dry,Dizzy,,,,Stress,Depression,Insomnia,Anxiety,Arthritis,18%,,1%
Bananium #2,,5.0,4,,,,,Euphoric,Creative,Uplifted,Relaxed,Happy,Depression,Pain,Stress,Inflammation,Insomnia,,,,,,,,
Kashmir Kush,Indica,4.6,31,,,,,Relaxed,Euphoric,Uplifted,Happy,Sleepy,Dry,Paranoid,Anxious,,,Anxiety,Insomnia,Depression,Pain,Stress,12%,,1%
Blackberry Bubble,Indica,4.7,26,Blackberry Kush,Sour Bubble,,,Relaxed,Euphoric,Happy,Uplifted,Sleepy,Dry,Anxious,,,,Pain,Anxiety,Stress,Depression,Insomnia,15%,—,
Cyber Cake,Hybrid,5.0,1,,,,,Uplifted,Relaxed,Happy,Euphoric,Energetic,Dizzy,Dry,Dry,,,Lack,Stress,Anxiety,PMS,,,,
Egg Roll,Hybrid,5.0,2,,,,,Uplifted,Tingly,Talkative,Sleepy,Relaxed,Dry,Dry,Headache,,,,,,,,,,
Jolly Green Giant,,5.0,1,,,,,Uplifted,Tingly,Relaxed,Happy,Focused,Depression,Eye,Fatigue,Headaches,Insomnia,,,,,,23%,—,
Black Diesel,Sativa,4.2,75,NYC Diesel,N/A,,,Euphoric,Uplifted,Happy,Relaxed,Energetic,Dry,Dry,Dizzy,Anxious,Paranoid,Stress,Anxiety,Pain,Depression,Fatigue,22%,—,
Dutchberry,Hybrid,4.5,116,Dutch Treat,DJ Short Blueberry,,,Happy,Relaxed,Uplifted,Euphoric,Creative,Dry,Anxious,Paranoid,Dry,Dizzy,Anxiety,Stress,Depression,Headaches,Pain,21%,,1%
Tiger Woods,Hybrid,4.1,12,,,,,Relaxed,Hungry,Giggly,Tingly,Happy,Dry,Paranoid,,,,Depression,Eye,Lack,Nausea,Stress,,,
Blue Bastard,Indica,3.7,33,God Bud,DJ Short Blueberry,,,Euphoric,Happy,Sleepy,Uplifted,Relaxed,Dry,Dry,Dizzy,Headache,Paranoid,Stress,Insomnia,Pain,Depression,Anxiety,19%,,1%
Dance World,Sativa,4.5,34,Dancehall,N/A,,,Happy,Relaxed,Uplifted,Energetic,Focused,Dry,Dizzy,Headache,,,Pain,Stress,Anxiety,Headaches,Depression,8%,11%,
Orange Romulan,Indica,4.3,3,Orange Kush,Romulan,,,,,,,,,,,,,,,,,,,,
Pootie Tang,Hybrid,4.7,11,,,,,Happy,Talkative,Relaxed,Uplifted,Energetic,Dry,,,,,Headaches,Inflammation,Pain,Spasticity,Stress,,,
Layer Cake,Hybrid,4.7,68,,,,,Relaxed,Euphoric,Happy,Uplifted,Focused,Dry,Dizzy,Anxious,Dry,,Anxiety,Depression,Pain,Stress,PTSD,20%,,1%
Crockett’s Confidential,Hybrid,4.5,6,LA Confidential,N/A,,,,,,,,,,,,,,,,,,21%,,1%
Lemon Brulee,Hybrid,4.8,4,Lemon Skunk,Death Star,,,Uplifted,Relaxed,Happy,Focused,Euphoric,,,,,,,,,,,,,
Motown Lockdown,Hybrid,4.0,1,Blueberry,N/A,,,,,,,,,,,,,,,,,,,,
Formula Won,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Star,Hybrid,5.0,2,,,,,Uplifted,Tingly,Relaxed,Happy,Euphoric,,,,,,,,,,,20%,—,
Jah Goo,Indica,4.5,26,Goo,N/A,,,Relaxed,Sleepy,Happy,Euphoric,Uplifted,Dry,Dry,Headache,Anxious,,Stress,Depression,Eye,Insomnia,Pain,15%,—,
Chicle,Hybrid,4.8,6,Chemdawg,Bubble Gum,,,Hungry,Focused,Euphoric,Happy,Energetic,,,,,,,,,,,,,
Orange Crush,Hybrid,4.1,524,Blueberry,California Orange,Orange Creamsicle,Orange Dream,Happy,Uplifted,Euphoric,Relaxed,Energetic,Dry,Dry,Dizzy,Paranoid,Headache,Stress,Anxiety,Depression,Pain,Fatigue,18%,—,
Pluto Kush,Indica,4.4,31,,,,,Euphoric,Relaxed,Sleepy,Happy,Hungry,Dry,Dry,Dizzy,Headache,,Insomnia,Pain,Stress,Depression,Anxiety,15%,,
Viper City OG,Hybrid,,,,,,,,,,,,,,,,,,,,,,19%,,1%
Lucid Lemon,,,,,,,,,,,,,,,,,,,,,,,29%,,3%
Death By Cake OG,Hybrid,5.0,8,OGKB,N/A,,,Uplifted,Relaxed,Happy,Euphoric,Energetic,Dry,Dry,Dizzy,Paranoid,,Depression,Lack,Headaches,Inflammation,Insomnia,23%,,1%
2 Fast 2 Vast,Hybrid,4.0,2,,,,,,,,,,,,,,,,,,,,,,
Moby Dick 2.0,Hybrid,5.0,1,,,,,,,,,,,,,,,,,,,,21%,,1%
Space Rip,,,,,,,,,,,,,,,,,,,,,,,18%,,1%
Pebble Pie,Hybrid,,,Pie 95,N/A,,,,,,,,,,,,,,,,,,,,
Alaska,Sativa,4.5,83,,,,,Energetic,Happy,Euphoric,Uplifted,Relaxed,Dry,Dizzy,Dry,Paranoid,Anxious,Stress,Depression,Anxiety,Pain,Headaches,,,
White Dream,Hybrid,4.7,33,Blue Dream,White Widow,,,Uplifted,Happy,Relaxed,Energetic,Focused,Dry,Anxious,Dry,Headache,Dizzy,Depression,Stress,Pain,Anxiety,Headaches,17%,—,
