Strain Name,Type,Rating,Rating Users,Left Parent,Right parent,Left Child,Right Child,Feeling_1,Feeling_2,Feeling_3,Feeling_4,Feeling_5,Negative_1,Negative_2,Negative_3,Negative_4,Negative_5,Helps with_1,Helps with_2,Helps with_3,Helps with_4,Helps with_5,THC,CBD,CBG
Ice Queen,Hybrid,4.6,56,White Widow,Cinderella 99,,,Happy,Uplifted,Relaxed,Creative,Euphoric,Dry,Dry,Dizzy,Headache,Paranoid,Stress,Depression,Anxiety,Pain,ADD,23%,,1%
Blue Raspberry Snow Cone,Hybrid,4.6,11,Blue Diesel,N/A,,,Tingly,Relaxed,Happy,Euphoric,Creative,Anxious,,,,,,,,,,,,
Spiked Punch,Hybrid,4.5,14,Purple Punch,Larry OG,,,Euphoric,Relaxed,Happy,Uplifted,Sleepy,Dry,Dry,,,,Depression,Insomnia,Pain,Stress,,,,
Hawaiian,Sativa,4.2,164,,,,,Happy,Uplifted,Relaxed,Euphoric,Creative,Dry,Dry,Paranoid,Anxious,Dizzy,Stress,Depression,Pain,Anxiety,Fatigue,19%,—,
Katsu,Indica,4.2,45,Hindu Kush,N/A,,,Relaxed,Sleepy,Euphoric,Happy,Focused,Dry,Dry,,,,Pain,Insomnia,Stress,Anxiety,Muscle,16%,—,
Grapefruit,Sativa,4.2,574,Cinderella 99,N/A,Zkittlez,Fruit Loops,Happy,Uplifted,Energetic,Euphoric,Focused,Dry,Dry,Dizzy,Paranoid,Headache,Stress,Depression,Anxiety,Pain,Fatigue,17%,—,
Exodus Kush,Hybrid,5.0,1,OG Kush,Exodus Cheese,,,,,,,,,,,,,,,,,,16%,,1%
Blueberry Jack,Hybrid,4.3,64,Jack Herer,DJ Short Blueberry,,,Relaxed,Happy,Euphoric,Uplifted,Creative,Dry,Dry,Paranoid,Anxious,Headache,Stress,Depression,Nausea,Pain,Anxiety,18%,—,
Elephant,Sativa,4.3,20,,,,,Happy,Relaxed,Focused,Uplifted,Talkative,Dry,Dry,Headache,Paranoid,,Eye,Pain,Spasticity,Arthritis,,15%,—,
Memory Loss,Sativa,4.6,78,Amnesia Haze,Face Off OG,,,Uplifted,Happy,Euphoric,Relaxed,Creative,Dry,Anxious,Dry,Headache,Dizzy,Stress,Pain,Depression,Anxiety,Fatigue,21%,,1%
Zombie Kush,Indica,4.7,54,Bubba Kush,Amnesia,,,Relaxed,Sleepy,Euphoric,Happy,Hungry,Dry,Dry,Dizzy,Headache,,Insomnia,Stress,Anxiety,Pain,Lack,13%,—,
Silver Blaze,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,
Tropaya Pie,,,,,,,,,,,,,,,,,,,,,,,17%,,1%
Hades OG,Indica,4.7,15,Fire OG,N/A,,,Relaxed,Euphoric,Uplifted,Happy,Tingly,Dry,Anxious,Dizzy,Paranoid,,Insomnia,Stress,Depression,Lack,Muscle,24%,—,
Platinum Trainwreck,Hybrid,4.1,92,Trainwreck,N/A,,,Euphoric,Happy,Relaxed,Uplifted,Energetic,Dry,Dry,Dizzy,Anxious,Paranoid,Pain,Stress,Depression,Anxiety,ADD,20%,—,
Stashsquatch,Hybrid,,,GSC,True OG,Lemon Stash CBD,Lazy Susan CBD,,,,,,,,,,,,,,,,,,
Double Tangie Banana,Hybrid,4.5,118,Tangie,N/A,,,Happy,Uplifted,Relaxed,Euphoric,Talkative,Dry,Dry,Headache,Paranoid,Anxious,Stress,Depression,Anxiety,Pain,Fatigue,17%,,1%
Vanilluna,Hybrid,4.8,6,Blueberry,N/A,,,Relaxed,Sleepy,Happy,Euphoric,,Eye,Headaches,Pain,ADD,Inflammation,,,,,,23%,,1%
Magic Melon,Hybrid,4.1,27,Mango Sherbert,N/A,,,Relaxed,Uplifted,Happy,Energetic,Aroused,Anxious,Dry,Dry,Paranoid,,Depression,Stress,Fatigue,Insomnia,Lack,21%,—,
Elephant Ears,Hybrid,5.0,6,Grease Monkey,Dogwalker OG,,,Creative,Relaxed,Hungry,Happy,Giggly,Dry,,,,,Stress,Fatigue,Headaches,Lack,Pain,20%,—,
Concord Cream,Hybrid,4.0,4,Cookies and Cream,Grape Bubba,,,Uplifted,Talkative,Hungry,Euphoric,Sleepy,Dry,Dizzy,Dry,,,Stress,Depression,Eye,Fatigue,Headaches,,,
Apricot Helix Orange Tahoe,,,,,,,,,,,,,,,,,,,,,,,16%,,1%
Banana Hammock R1,Indica,4.6,58,Grape God,N/A,,,Relaxed,Happy,Sleepy,Euphoric,Hungry,Dry,Dry,Anxious,Dizzy,Headache,Anxiety,Insomnia,Stress,PTSD,Pain,12%,,1%
Cakewalk,Hybrid,4.5,2,GSC,True OG,,,Sleepy,Relaxed,Happy,,,,,,,,,,,,,17%,—,
Petroleum Jelly,,,,,,,,,,,,,,,,,,,,,,,16%,,1%
Tropicana Cookies,Sativa,4.5,242,GSC,Tangie,Tropic Truffle,Beach Wedding,Happy,Uplifted,Euphoric,Energetic,Relaxed,Dry,Dry,Anxious,Dizzy,Paranoid,Stress,Anxiety,Depression,Pain,Fatigue,16%,,1%
Chocolate Hashberry,Hybrid,4.5,123,Blackberry Kush,Chocolate Kush,,,Relaxed,Happy,Euphoric,Uplifted,Creative,Dry,Dry,Paranoid,Anxious,Dizzy,Pain,Stress,Anxiety,Depression,Lack,17%,—,
